text_index,true_equation,gpm_equation,mlp_y,gpm_y,mlp_rel_err,gpm_rel_err,mlp_train_time,gpm_train_time
0,-sin(1.1*x1+0.64),"sin(log(div(0.444, exp(X0))))","[0.84074202 0.94348765 1.04623328 1.1489789  1.25172453 1.35447016
 1.45721579 1.55996141 1.66270704 1.76545267 1.8681983  1.97094392
 2.07368955 2.17643518 2.27918081 2.38192643 2.48467206 2.58741769
 2.69016332 2.79290894 2.89565457 2.9984002  3.10114583 3.20389145
 3.30663708 3.40938271 3.51212834 3.61487396 3.71761959 3.82036522]","[ 0.69626628  0.76444662  0.82498886  0.87728809  0.92082174  0.95515486
  0.9799444   0.99494266  0.99999981  0.99506532  0.98018849  0.95551799
  0.92130032  0.8778774   0.82568311  0.76523898  0.69714898  0.62209347
  0.54082242  0.4541479   0.36293599  0.26809809  0.17058186  0.0713617
 -0.02857095 -0.12821754 -0.22658239 -0.32268262 -0.41555804 -0.50428067]",6.028485436486929,0.05190866408386232,0.8443665504455566,86.98891258239746
1,-1.42*x1+sqrt(x1+0.53),"div(add(X0, -0.842), -0.917)","[-2.45714248 -2.56487641 -2.67261034 -2.78034427 -2.88807819 -2.99581212
 -3.10354605 -3.21127998 -3.31901391 -3.42674783 -3.53448176 -3.64221569
 -3.74994962 -3.85768355 -3.96541747 -4.0731514  -4.18088533 -4.28861926
 -4.39635319 -4.50408711 -4.61182104 -4.71955497 -4.8272889  -4.93502283
 -5.04275675 -5.15049068 -5.25822461 -5.36595854 -5.47369247 -5.58142639]","[-2.46228524 -2.57131909 -2.68035294 -2.78938679 -2.89842064 -3.00745449
 -3.11648834 -3.22552219 -3.33455604 -3.44358989 -3.55262374 -3.66165759
 -3.77069144 -3.87972529 -3.98875914 -4.09779299 -4.20682684 -4.31586069
 -4.42489454 -4.53392839 -4.64296224 -4.75199609 -4.86102994 -4.97006379
 -5.07909764 -5.18813149 -5.29716534 -5.40619919 -5.51523304 -5.62426689]",0.05461559992300568,0.04294584553400873,1.8522014617919922,80.78682494163513
2,sqrt(-sin(0.2*x1)),"sin(sqrt(mul(0.222, X0)))","[0.7162564  0.70818293 0.70010945 0.69203598 0.68396251 0.67588903
 0.66781556 0.65974209 0.65166861 0.64359514 0.63552167 0.6274482
 0.61937472 0.61130125 0.60322778 0.5951543  0.58708083 0.57900736
 0.57093389 0.56286041 0.55478694 0.54671347 0.53863999 0.53056652
 0.52249305 0.51441958 0.5063461  0.49827263 0.49019916 0.48212568]","[0.73735461 0.74625151 0.75488215 0.76325709 0.77138619 0.77927862
 0.78694299 0.79438732 0.80161918 0.80864566 0.81547346 0.82210887
 0.82855786 0.83482606 0.84091884 0.84684124 0.85259809 0.85819397
 0.86363324 0.86892005 0.87405839 0.87905203 0.8839046  0.88861957
 0.89320027 0.89764987 0.90197144 0.90616791 0.91024211 0.91419675]",0.09273077202106057,0.001445351609171686,1.3676233291625977,4.241798639297485
3,sin(sqrt(x1)),sin(sqrt(X0)),"[0.990421   0.990421   0.990421   0.990421   0.990421   0.990421
 0.990421   0.990421   0.990421   0.990421   0.990421   0.990421
 0.990421   0.990421   0.990421   0.990421   0.990421   0.990421
 0.990421   0.990421   0.990421   0.98996145 0.98876479 0.98756813
 0.98637146 0.9851748  0.98397813 0.98278147 0.9815848  0.98038814]","[0.98202588 0.9763194  0.96994446 0.96293601 0.95532692 0.94714816
 0.93842893 0.92919686 0.91947809 0.90929743 0.8986784  0.88764339
 0.87621369 0.86440961 0.85225051 0.83975487 0.82694036 0.81382389
 0.80042165 0.78674913 0.77282122 0.75865218 0.74425571 0.72964498
 0.71483266 0.6998309  0.68465144 0.66930556 0.65380413 0.63815764]",0.03499025146094739,7.747989464006526e-06,1.1836967468261719,4.207838296890259
4,0.86*x1**2-0.59*x1+1.36,"exp(mul(0.663, X0))","[ 7.53843215  7.90495031  8.27146847  8.63798663  9.00450479  9.37102294
  9.7375411  10.10405926 10.47057742 10.83709558 11.20361373 11.57013189
 11.93665005 12.30316821 12.66968637 13.03620453 13.40272268 13.76924084
 14.135759   14.50227716 14.86879532 15.23531347 15.60183163 15.96834979
 16.33486795 16.70138611 17.06790426 17.43442242 17.80094058 18.16745874]","[ 7.80626088  8.34125785  8.91292049  9.52376166 10.17646643 10.87390389
 11.61913977 12.4154499  13.26633462 14.17553418 15.14704512 16.18513794
 17.29437576 18.47963448 19.74612412 21.0994118  22.54544616 24.09058354
 25.74161591 27.50580069 29.39089272 31.40517829 33.55751161 35.85735369
 38.31481393 40.9406946  43.74653829 46.74467863 49.94829456 53.3714682 ]",0.05415764473539253,0.16294194297586398,5.501425743103027,82.865549325943
5,0.28*sqrt(-x1**2),"mul(X0, 0.272)","[0.86396893 0.89288066 0.9217924  0.95070413 0.97961587 1.0085276
 1.04331248 1.09984242 1.15637235 1.21290229 1.26943223 1.32596216
 1.3824921  1.43902204 1.49555198 1.55208191 1.60861185 1.66514179
 1.72167172 1.77820166 1.8347316  1.89126154 1.94779147 2.00432141
 2.06085135 2.11738128 2.17391122 2.23044116 2.28697109 2.34350103]","[0.8445714  0.87181564 0.89905988 0.92630411 0.95354835 0.98079259
 1.00803683 1.03528107 1.06252531 1.08976955 1.11701378 1.14425802
 1.17150226 1.1987465  1.22599074 1.25323498 1.28047922 1.30772346
 1.33496769 1.36221193 1.38945617 1.41670041 1.44394465 1.47118889
 1.49843313 1.52567736 1.5529216  1.58016584 1.60741008 1.63465432]",0.060932872688758466,0.0001392780956510692,0.5192744731903076,8.193193674087524
6,sin(0.07*x1**2+0.28*x1),"mul(X0, 0.362)","[0.9503947 0.9503947 0.9503947 0.9503947 0.9503947 0.9503947 0.9503947
 0.9503947 0.9503947 0.9503947 0.9503947 0.9503947 0.9503947 0.9503947
 0.9503947 0.9503947 0.9503947 0.9503947 0.9503947 0.9503947 0.9503947
 0.9503947 0.9503947 0.9503947 0.9503947 0.9503947 0.9503947 0.9503947
 0.9503947 0.9503947]","[1.12240737 1.15861406 1.19482075 1.23102744 1.26723413 1.30344082
 1.33964751 1.3758542  1.41206088 1.44826757 1.48447426 1.52068095
 1.55688764 1.59309433 1.62930102 1.66550771 1.7017144  1.73792109
 1.77412778 1.81033447 1.84654116 1.88274785 1.91895454 1.95516123
 1.99136791 2.0275746  2.06378129 2.09998798 2.13619467 2.17240136]",1.0296848328883996,3.0932254465998215,1.0404901504516602,73.51307344436646
7,sin(x1),exp(log(sin(X0))),"[ 0.0664625  -0.02048256 -0.10742763 -0.1943727  -0.28131776 -0.36826283
 -0.45520789 -0.54215296 -0.62909802 -0.71604309 -0.80298815 -0.88993322
 -0.97687828 -1.06382335 -1.15076842 -1.23771348 -1.32465855 -1.41160361
 -1.49414326 -1.57398533 -1.65382739 -1.73366946 -1.81351153 -1.8933536
 -1.97319566 -2.05303773 -2.1328798  -2.21272187 -2.29256393 -2.372406  ]","[0.04158066 0.05837414 0.15774569 0.2555411  0.35078323 0.44252044
 0.52983614 0.61185789 0.68776616 0.7568025  0.81827711 0.87157577
 0.91616594 0.95160207 0.97753012 0.993691   0.99992326 0.99616461
 0.98245261 0.95892427 0.92581468 0.88345466 0.83226744 0.77276449
 0.70554033 0.63126664 0.55068554 0.46460218 0.37387666 0.2794155 ]",0.7271043611836386,2.089319423413964,1.058664083480835,4.234518766403198
8,0.81*sqrt(-x1**2-0.95*x1+0.12),X0,"[2.81174966 2.85962053 2.9074914  2.95536227 3.00323315 3.05110402
 3.09897489 3.14684576 3.19471663 3.2425875  3.29045837 3.33832924
 3.38620011 3.43407098 3.48194186 3.52981273 3.5776836  3.62555447
 3.67342534 3.72129621 3.76916708 3.81703795 3.86490882 3.91277969
 3.96065057 4.00852144 4.05639231 4.10426318 4.15213405 4.20000492]","[3.1 3.2 3.3 3.4 3.5 3.6 3.7 3.8 3.9 4.  4.1 4.2 4.3 4.4 4.5 4.6 4.7 4.8
 4.9 5.  5.1 5.2 5.3 5.4 5.5 5.6 5.7 5.8 5.9 6. ]",0.01693885528631256,0.016840774516995925,1.9583570957183838,69.84125137329102
9,sin(x1+0.37),"sin(add(0.377, X0))","[-0.19494461 -0.21418157 -0.23341853 -0.25265549 -0.27189245 -0.29112941
 -0.31036637 -0.32960333 -0.34884029 -0.36807725 -0.38731421 -0.40655117
 -0.42578813 -0.44502509 -0.46426205 -0.48349901 -0.50273597 -0.52197293
 -0.54120989 -0.56044685 -0.57968381 -0.59892076 -0.61815772 -0.63739468
 -0.65663164 -0.6758686  -0.69510556 -0.71434252 -0.73357948 -0.75281644]","[-0.32922071 -0.42184398 -0.51025233 -0.5935624  -0.67094179 -0.74161736
 -0.80488293 -0.86010637 -0.90673592 -0.94430566 -0.97244021 -0.99085846
 -0.99937638 -0.99790886 -0.98647056 -0.96517578 -0.93423728 -0.89396419
 -0.84475891 -0.78711307 -0.72160266 -0.64888224 -0.5696784  -0.48478252
 -0.39504285 -0.30135604 -0.20465819 -0.10591546 -0.00611445  0.09374764]",0.20409057525293645,4.6077192942108104e-05,0.4263136386871338,4.261564254760742
10,-0.68*x1**2+1.77*x1,"mul(mul(mul(X0, X0), exp(0.279)), add(add(-0.431, X0), mul(0.279, X0)))","[39.8671549  41.8638585  43.86056209 45.85726569 47.85396928 49.85067288
 51.84737647 53.84408007 55.84078366 57.83748726 59.83419086 61.83089445
 63.82759805 65.82430164 67.82100524 69.81770883 71.81441243 73.81111602
 75.80781962 77.80452321 79.80122681 81.79793041 83.794634   85.7913376
 87.78804119 89.78474479 91.78144838 93.77815198 95.77485557 97.77155917]","[ 44.91470227  49.59142474  54.58153825  59.89519277  65.54253827
  71.53372474  77.87890214  84.58822044  91.67182963  99.13987968
 107.00252056 115.26990224 123.9521747  133.05948792 142.60199186
 152.58983651 163.03317184 173.94214781 185.32691441 197.19762161
 209.56441939 222.43745771 235.82688656 249.7428559  264.19551572
 279.19501598 294.75150666 310.87513774 327.57605918 344.86442097]",0.27510299542356215,1.2548006129962498e-05,3.0243301391601562,93.12352228164673
