test_index,true_equation,true_skeleton,predicted_equation,predicted_tree,predicted_y,rel_err,dsr_time
0,-1.4608810703863337*exp(-1.3662906591107051*x1/(1.6570892466721525*x1))+-0.5481326790673482,C*exp(C*x1/(C*x1))+C,NA,NA,NA,NA,NA
1,0.9397283929441147*exp(-1.7138582239614426*x1)*-2.0077425853788546*cos(-1.3353942241925272*x1**2+-0.9402324542557938*x1)+0.7279997618628564,C*exp(C*x1)*C*cos(C*x1**2+C*x1)+C,NA,NA,NA,NA,NA
2,0.5035538309121157*x1**5+-1.7880275308333555*x1**4+1.9763031036747143*x1**3+0.64126273976877*x1**2*1.9018843748420244*log(0.8634365809569955*x1)+-1.6578296868442013*x1**2+-0.4515420744032035*x1+1.133184078275951,C*x1**5+C*x1**4+C*x1**3+C*x1**2*C*log(C*x1)+C*x1**2+C*x1+C,NA,NA,NA,NA,NA
3,0.25685479717362014*x1/(1.3240180394403067*x1+-0.16002606291656596)+1.3023923419772578,C*x1/(C*x1+C)+C,NA,NA,NA,NA,NA
4,0.9633718254570423*x1*1.9148717606989867*log(0.9006877952636358*x1**4+1.6669653267307702*x1**3+0.5648574464503451*x1**2+-1.2276559446229411*x1+-0.6261005199630683)*-1.7718715377928107*sin(1.342774419612362*x1)+0.6767932552032421,C*x1*C*log(C*x1**4+C*x1**3+C*x1**2+C*x1+C)*C*sin(C*x1)+C,NA,NA,NA,NA,NA
5,-2.03995581177251*x1**2+1.784589431926912*x1+-0.0323998685508311,C*x1**2+C*x1+C,NA,NA,NA,NA,NA
6,0.7857267985261505*x1+1.8322960722393105*sin(1.4963571161610014*x1)+0.7030234480140063,C*x1+C*sin(C*x1)+C,NA,NA,NA,NA,NA
7,-0.961876108374458*x1+-1.250800758696987/x1+-1.0663702739185705,C*x1+C/x1+C,NA,NA,NA,NA,NA
8,-1.1721166123163602*x1**5+1.6974628250176984*x1**4+-1.8183674492315656*x1**3+0.28345722200202106*x1**2+-0.20747095003007954*x1+-1.8057037618847964,C*x1**5+C*x1**4+C*x1**3+C*x1**2+C*x1+C,NA,NA,NA,NA,NA
9,0.5429391980551586*x1**4+0.5587698685776163*x1**2+0.26202636943628077,C*x1**4+C*x1**2+C,NA,NA,NA,NA,NA
10,-1.6520979503835531*sin(-0.8793737280343623*cos(1.3548815753934487*exp(0.7480493823527654*x1)))+1.3078534309295304,C*sin(C*cos(C*exp(C*x1)))+C,NA,NA,NA,NA,NA
11,1.9408099468570277*x1*0.48518007925928686*log(-0.37576148071164694*x1**3+-0.4469742917830326*x1**2+1.2349053621894983*x1+-1.1406322138901035)+-0.6421494302018327*exp(-1.2980538069135452*x1)+1.9610357296909817,C*x1*C*log(C*x1**3+C*x1**2+C*x1+C)+C*exp(C*x1)+C,NA,NA,NA,NA,NA
12,1.5870735041556885*log(-1.9971494165750023*x1**2+2.098618090668166*x1+-0.4675728190037194)+0.34363164599140816,C*log(C*x1**2+C*x1+C)+C,NA,NA,NA,NA,NA
13,-1.4623633539230116*exp(2.06582179653662*x1)+-0.3071961525631195,C*exp(C*x1)+C,NA,NA,NA,NA,NA
14,-1.8848426210827323*exp(-1.522950818607487*x1)+-0.8403109156933315,C*exp(C*x1)+C,NA,NA,NA,NA,NA
15,-1.481776411600663*sin(0.5751685197878165*log(-0.8219176757973228*x1))+-1.1475219226464715,C*sin(C*log(C*x1))+C,NA,NA,NA,NA,NA
16,0.6188270940994012*log(1.6728061388861657*cos(0.9910969015043394*x1+-0.9218172839729701)**4)+-1.59161126194169,C*log(C*cos(C*x1+C)**4)+C,NA,NA,NA,NA,NA
17,1.8666349454089444*sin(1.496037423295442*x1+0.05518078198207865)+-1.59848257817769,C*sin(C*x1+C)+C,NA,NA,NA,NA,NA
18,-1.5329422024906514*x1**2+-0.47167917186632624,C*x1**2+C,NA,NA,NA,NA,NA
19,-1.292424093456328*x1+-1.4305060425769378,C*x1+C,NA,NA,NA,NA,NA
20,-1.7393436225521142*x1*0.449438445312758*cos(0.15643036080416506*x1)+1.4222864439438387,C*x1*C*cos(C*x1)+C,NA,NA,NA,NA,NA
21,0.20809992952797796*x1*0.8743119911575592*log(0.9487458659331658*x1+1.928182171771906)+1.4703491995295015,C*x1*C*log(C*x1+C)+C,NA,NA,NA,NA,NA
22,-0.4071534908086305*cos(1.302011932442349*sin(-1.7232821732879442*x1))+1.5049567188932227,C*cos(C*sin(C*x1))+C,NA,NA,NA,NA,NA
23,-1.221855064120768*cos(-1.0779750472374385*log(-1.1540742645405142*x1)+1.253817758737263)**3+1.2605775854298358,C*cos(C*log(C*x1)+C)**3+C,NA,NA,NA,NA,NA
24,-0.4924156906931143*sin(1.3303758619556452*x1**4+0.6879260823354207*x1**3+-1.5872473428557883*x1**2+1.3418433581041698*x1+1.016003962040617)+1.6460517577204192,C*sin(C*x1**4+C*x1**3+C*x1**2+C*x1+C)+C,NA,NA,NA,NA,NA
25,-1.971577535372575*x1**3+1.5050855019406453,C*x1**3+C,NA,NA,NA,NA,NA
26,-1.0006726658439384*cos(-0.2007031531202872*x1+-0.7491713218335556)+0.930999551286293,C*cos(C*x1+C)+C,NA,NA,NA,NA,NA
27,0.1538016990384663*exp(-1.0790688012704894*x1)*-0.019849652953018992*log(0.16173028449485471*x1+-0.5501530530534955)+1.7388398212520957*exp(0.4983779125550072*x1)*1.9321876241814988*cos(-0.41686455969038017*x1)+-1.5994829411524583,C*exp(C*x1)*C*log(C*x1+C)+C*exp(C*x1)*C*cos(C*x1)+C,NA,NA,NA,NA,NA
28,1.9848190190561819*x1**2+0.528563539691683*cos(-0.4054260668470433*x1+-0.141100837859238)+-0.4264884018970332,C*x1**2+C*cos(C*x1+C)+C,NA,NA,NA,NA,NA
29,-0.3641865811194753*exp(1.651220470174795*exp(-0.5371166533805005*x1))+1.2501617982528814,C*exp(C*exp(C*x1))+C,NA,NA,NA,NA,NA
30,0.966720661117467*sin(1.5434514941042554*x1+-0.4753530372920418)+0.11252193685511891,C*sin(C*x1+C)+C,NA,NA,NA,NA,NA
31,0.44286617131684025*x1*-0.22075171928462578*exp(-1.8012352011694832*x1)*-1.2619844786315728*log(-1.2735555021558869*x1+-0.2044030136754058)+1.737025952569497*sin(0.5848154390965838*x1)+1.7845073360780117,C*x1*C*exp(C*x1)*C*log(C*x1+C)+C*sin(C*x1)+C,NA,NA,NA,NA,NA
32,-0.3563862615918285*x1*-0.5440676262656592*sin(-1.8314322583603382*x1/(-1.8674849055673357*x1+1.623532481888775))+2.0267528526904575*log(1.8257988998117956*x1)+0.1685644433718947,C*x1*C*sin(C*x1/(C*x1+C))+C*log(C*x1)+C,NA,NA,NA,NA,NA
33,-0.9287548850326248*sin(-0.16485356454857114*x1)+1.8623811658714833,C*sin(C*x1)+C,NA,NA,NA,NA,NA
34,1.9457335757859293*log(-0.5150533792994034*x1)+1.4850782618540541,C*log(C*x1)+C,NA,NA,NA,NA,NA
35,1.8927621889977422*x1**3+-0.6998299001090296*x1*0.2984623310978476*exp(-1.6168758998023256*x1)+-0.876941516525525*x1+0.01174763215521768,C*x1**3+C*x1*C*exp(C*x1)+C*x1+C,NA,NA,NA,NA,NA
36,2.043833069765505*log(-1.4731400909661088*x1*-0.22421706894888582*log(-0.3001057151180613*x1+-0.04686366446483348)/(-1.6245996718767952*x1+-0.5341854596377227)+-2.060380607262661/(-1.0499475647685323*x1+0.7823008754772918))+1.4788130721363228,C*log(C*x1*C*log(C*x1+C)/(C*x1+C)+C/(C*x1+C))+C,NA,NA,NA,NA,NA
37,-0.3157163040382267*x1**3+-1.0158706014663592,C*x1**3+C,NA,NA,NA,NA,NA
38,1.4886786029554089*cos(-1.1110153190641814*x1)+-1.4523170721598868,C*cos(C*x1)+C,NA,NA,NA,NA,NA
39,-1.1198203339256023*exp(1.3434882189386208*x1)+1.3025416565257997*cos(2.0390483320621438*x1+0.6349702479185559)**5+1.4825974251024299,C*exp(C*x1)+C*cos(C*x1+C)**5+C,NA,NA,NA,NA,NA
40,-1.519547169067665*x1**2+2.0224567562046096*x1/1.2653241956731307*cos(-0.2530618286654258*x1+0.5579102892619199)+0.34699789932412184,C*x1**2+C*x1/C*cos(C*x1+C)+C,NA,NA,NA,NA,NA
41,0.07991455005886072*x1/(-1.6998715470839048*x1+0.8929038764977726)+0.32112926647535467,C*x1/(C*x1+C)+C,NA,NA,NA,NA,NA
42,-0.9941561868955551*sin(1.023384958847089*x1+0.5202185164976245)+1.6773243727479947,C*sin(C*x1+C)+C,NA,NA,NA,NA,NA
43,-0.8439111685701441*x1+-0.5999543139448917,C*x1+C,NA,NA,NA,NA,NA
44,-2.028807069560051*cos(-0.05884172337086335*cos(0.03705703240126734*x1/(1.5302561624728739*x1+-1.622327018426899)+0.29293594912070553/(-1.5824301980034567*x1+1.5874143863097374)))+1.0114465809576045,C*cos(C*cos(C*x1/(C*x1+C)+C/(C*x1+C)))+C,NA,NA,NA,NA,NA
45,-1.5644988573485124*sin(-0.7253381276452988*sin(2.025174363816436*x1+-0.72439321336993))+-1.4995616642261744,C*sin(C*sin(C*x1+C))+C,NA,NA,NA,NA,NA
46,-0.026133755295160377*exp(1.3096176659956686*x1)+-1.1202397763457292,C*exp(C*x1)+C,NA,NA,NA,NA,NA
47,1.3502460616825793*x1+-2.0703249981626435,C*x1+C,NA,NA,NA,NA,NA
48,2.061048382200813*log(1.9099416854254625*x1**2+0.026238004417386662)+0.08420844391686266,C*log(C*x1**2+C)+C,NA,NA,NA,NA,NA
49,-0.21041853733557003*x1**2+1.8192876449200845*x1+1.9847207644547038*x1/(-0.6929718155636839*x1+-1.3968967622528674)+2.098471838917017/(-0.34635814183908953*x1+-0.4456087215625797)+1.5662618608749295,C*x1**2+C*x1+C*x1/(C*x1+C)+C/(C*x1+C)+C,NA,NA,NA,NA,NA
50,0.9724029684498303*x1+-0.6515852090737857,C*x1+C,NA,NA,NA,NA,NA
51,-1.5916222186600835*x1+-0.27060322119950464,C*x1+C,NA,NA,NA,NA,NA
52,-0.1891792738088216*log(0.8454387752607677*cos(-1.0008877612703357*x1))+-1.1044732920644247,C*log(C*cos(C*x1))+C,NA,NA,NA,NA,NA
53,-1.6745917610676577*sin(1.1855604900031342*exp(1.7792775012224755*x1))+2.0622852294132055,C*sin(C*exp(C*x1))+C,NA,NA,NA,NA,NA
54,-1.3257310805153253*exp(-0.43652949216172976*x1)+-1.5225461109173124,C*exp(C*x1)+C,NA,NA,NA,NA,NA
55,0.29945488697766054*x1+1.9133664699340591,C*x1+C,NA,NA,NA,NA,NA
56,1.421408680892693*sin(-0.7849403264445676*x1)+0.005355850564441322,C*sin(C*x1)+C,NA,NA,NA,NA,NA
57,0.40770798158663046*sin(1.246840487111979*log(2.052510259517575*x1)+-0.7785508700595822)+1.7307411861774487,C*sin(C*log(C*x1)+C)+C,NA,NA,NA,NA,NA
58,1.1257231870729631*x1+1.00838976600664,C*x1+C,NA,NA,NA,NA,NA
59,0.7066436697309166*log(0.32314801938769655*exp(-0.07314597272175183*x1))+1.1488188358490925,C*log(C*exp(C*x1))+C,NA,NA,NA,NA,NA
60,0.8645859597636556*log(0.31918279513779746*cos(-2.047202586834607*x1+-0.10659272351463689))+0.23312549747449474,C*log(C*cos(C*x1+C))+C,NA,NA,NA,NA,NA
61,1.6971707600593975*log(-0.9373854544949016*log(-0.3562771857364728*exp(0.7956481620814468*x1)))+0.2711747233836945,C*log(C*log(C*exp(C*x1)))+C,NA,NA,NA,NA,NA
62,-0.03891096505390701*log(0.9718541329873562*log(-1.9820110257637475*cos(-1.7298881787145064*x1+0.478685604839832)))+0.5136477330648948,C*log(C*log(C*cos(C*x1+C)))+C,NA,NA,NA,NA,NA
63,1.7810668502347808*x1**4+-0.19653314028024704*x1**3+-0.8936733394416836*x1**2+-0.8309978758895011*x1+1.5655114185724508,C*x1**4+C*x1**3+C*x1**2+C*x1+C,NA,NA,NA,NA,NA
64,1.1726514346726358*exp(1.4125243962263108*x1)+1.5559796852200614,C*exp(C*x1)+C,NA,NA,NA,NA,NA
65,1.9872494941877812*x1**2+-1.9403712895830578,C*x1**2+C,NA,NA,NA,NA,NA
66,-0.24544556750676128*x1**4+2.004132188915593*x1**2+-0.8625210632271973,C*x1**4+C*x1**2+C,NA,NA,NA,NA,NA
67,0.5041713273513961*log(-1.588823835516906*exp(1.0444425431084587*x1))+-0.18166235725782354,C*log(C*exp(C*x1))+C,NA,NA,NA,NA,NA
