test_index,true_equation,true_skeleton,predicted_equation,predicted_tree,predicted_y,rel_err,dsr_time
0,-1.4608810703863337*sqrt(-1.3662906591107051*abs(1.6570892466721525*exp(-0.5481326790673482*x1)))+1.029360105369968,C*sqrt(C*abs(C*exp(C*x1)))+C,"     ⎛         ⎛         ⎛                   ⎛ x₁⎞⎞     ⎞⎞        
     ⎜         ⎜         ⎜     ⎛        x₁⎞  ⎝ℯ  ⎠⎟     ⎟⎟        
     ⎜         ⎜      x₁⋅⎝x₁ + ⎝2⋅x₁ + ℯ  ⎠⋅ℯ     ⎠ - x₁⎟⎟        
     ⎜         ⎜-x₁ + ──────────────────────────────────⎟⎟        
     ⎜         ⎜                      x₁                ⎟⎟        
x₁ + ⎜-x₁ + sin⎜────────────────────────────────────────⎟⎟⋅sin(x₁)
     ⎝         ⎝                   x₁                   ⎠⎠        ","add,mul,sin,x1,sub,sin,div,sub,div,sub,mul,add,mul,exp,exp,x1,add,add,exp,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1","[ 9.37530748  0.77195791  9.15611553 -2.16269356  0.21812178  9.61683602
  0.26557824 -1.64168521 10.17080324 -2.72601333  0.46595937  8.09008088
  2.75596167  3.94425843 -2.09572684  8.40729268 -1.62345392  0.74970766
  4.05713588  4.55307041  4.69231094  9.09098387  0.69949337 -1.79815237
 -2.84536667 -1.57732551  0.68201931 -2.72949757  7.51307926  5.35213661
  8.57414508  9.05305361 -3.48377693  7.33884729 10.2854617   6.31885812
 -3.19794171  3.78869399 -0.09309484  0.41546921  4.36288298  8.33436669
  9.20029445 -3.15010343  0.5933201  -2.67146277  5.56759597 -3.21218961
  5.30995651  6.60568787  0.78944613  0.76488994  8.58591642  5.03533838
  3.37842528  6.86927049  4.60673146  7.84862328  8.25258225 -1.73660257
  7.88443225 -0.61111341  0.20401548  2.88137459  0.70517174  8.07394343
 -1.75371676 -0.66777663  3.95802548  0.32697185 10.35506547  0.7635942
  5.17796218 -2.85851586  4.50882447  9.1406624   0.31903943  4.82192447
 10.33774772 -1.52755597  8.25708251 -0.89990408 -2.68519274  5.57695614
  0.69147407  6.97351153  4.08006589  7.56605301 -1.45263516  5.29526799
 -0.70052071  8.4152439   3.41707803  0.74193219 -0.56171348 -3.27238586
  3.26637997  6.63194246]",0.9763827275628462,10.944908142089844
1,0.874830041464461*cos(0.9179645388293869*cos(-0.7156556238213949*x1+-1.4590500085806406))+0.9990596752816039,C*cos(C*cos(C*x1+C))+C,"   2        
sin (x₁) + 1","add,div,x1,x1,mul,sin,x1,sin,x1","[1.01293022 1.02188722 1.00405911 1.00000852 1.00237492 1.79198471
 1.97790977 1.03116182 1.9627798  1.98590037 1.72777925 1.02900938
 1.98485781 1.99577952 1.77672013 1.00541574 1.57478091 1.99151692
 1.00329908 1.97188196 1.11438484 1.00670573 1.4806357  1.96074257
 1.88889674 1.81594055 1.1931799  1.98284374 1.7165     1.9998237
 1.9947199  1.39694137 1.50631163 1.97145936 1.00962287 1.30749544
 1.70076634 1.99983638 1.25011529 1.19774749 1.33311829 1.89911118
 1.25227525 1.01844346 1.18510001 1.61806581 1.01525569 1.99911189
 1.81564525 1.36169514 1.72936173 1.18558467 1.71272736 1.00045196
 1.06852126 1.86425986 1.00086181 1.70473763 1.34391957 1.95696326
 1.28269088 1.56857696 1.11642268 1.00303047 1.59286101 1.97059373
 1.1447247  1.48966748 1.08681194 1.18258295 1.85534644 1.31029892
 1.13292114 1.94973144 1.99673438 1.8068866  1.93145832 1.90038681
 1.91770504 1.92290637 1.00387356 1.04408191 1.31793743 1.05758129
 1.93276121 1.72079189 1.08630073 1.58797729 1.94187486 1.91033381
 1.55829015 1.77122521 1.01354099 1.03137983 1.98983702 1.26393657
 1.00848104 1.99653503 1.97277159 1.99376302 1.98312579 1.62227962
 1.51160189 1.9255664  1.93249403 1.00893285 1.07978393 1.01202291
 1.00853396 1.52030686 1.86994198 1.86935908 1.38205651 1.03876734
 1.9743771  1.10642385 1.74728928 1.96448606 1.99397999 1.69023605
 1.00237132 1.94791289 1.09388792 1.26991862]",0.009027801156672653,6.915539264678955
2,-0.39221196080270926*cos(1.0847239700245166*x1)+-1.985702898339889,C*cos(C*x1)+C,cos(3),"cos,div,add,x1,add,x1,x1,x1","[-0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925]",0.03679651075589474,7.371789455413818
3,0.6715183727423595*sqrt(-0.28317813903818045*abs(0.44797974327529166*x1+-0.6514347671693759))+0.2868957209968017,C*sqrt(C*abs(C*x1+C))+C,cos(1),"cos,div,x1,x1","[0.54030231 0.54030231 0.54030231 0.54030231 0.54030231 0.54030231
 0.54030231 0.54030231 0.54030231 0.54030231 0.54030231 0.54030231
 0.54030231 0.54030231 0.54030231 0.54030231 0.54030231 0.54030231
 0.54030231 0.54030231 0.54030231 0.54030231 0.54030231 0.54030231
 0.54030231 0.54030231 0.54030231 0.54030231 0.54030231 0.54030231
 0.54030231]",0.014722145567919074,6.893967390060425
4,0.5614129726281232*x1+-1.6688291481606639*exp(-1.4029160521934774*x1)+-0.3628742150092332,C*x1+C*exp(C*x1)+C,"   ⎛     ⎛          ⎛       x₁⎞⎞               ⎞
   ⎜     ⎜          ⎜ x₁ + ℯ  ⎟⎟               ⎟
   ⎜     ⎜       cos⎝ℯ        ⎠⎟               ⎟
x₁⋅⎝- x₁⋅⎝-x₁ + ℯ              ⎠ - x₁ + sin(x₁)⎠","mul,sub,sin,x1,add,mul,sub,mul,div,exp,cos,div,mul,exp,add,add,sub,exp,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1","[ 5.91738442e+00  9.39515667e+00 -6.35220494e+01 -1.98739084e+02
 -1.27612715e+02  6.12945898e+01 -1.59797897e+02  2.15987918e+01
  1.39344103e-01  4.80425953e+01  6.82243295e+01 -9.33180062e+01
 -1.95131070e+02 -1.09491680e+02 -2.22361376e+02  2.04561721e+01
  1.52899313e+01  1.62256810e+01  4.52842052e+01 -9.85766189e+01
  3.83447701e+01 -1.92880844e+02 -2.01692045e+02 -9.16266346e+01
 -1.98592293e+02  2.93617995e+01 -3.76684116e-01 -1.72318631e+02
  2.60308769e+01 -1.42176839e+02 -1.54606868e+02  7.58915188e+00
 -1.94459025e+02 -1.05570612e+02 -1.09937394e+02 -8.20225417e+01
 -6.15664453e+01  3.46739250e+01 -7.46929924e+01 -1.08478348e+02
 -2.19760347e+02  1.68334936e+01  6.81040935e+01  6.60963885e+01
  5.89772889e+01  6.23681011e+01 -1.80921179e+02 -1.64542922e+02
  5.31532842e+01  1.31705730e+01  1.77983383e+01 -1.96951168e+02
  7.79349512e+01 -1.22609744e+00  4.85183267e+00  2.78776813e+01
 -1.46534423e+02 -6.43684611e+01 -8.35357982e+01 -1.89270255e+02
 -8.55481746e+01  5.20488187e+01  7.79359441e+01 -6.69158479e+01
 -1.82017991e+02 -1.97480182e+02  1.26122479e+01 -1.93629235e+02
  3.16600496e+01 -1.70966115e+02  6.09541323e+01 -1.91926591e+02
  1.26758768e+01 -9.72037721e+01 -1.95136220e+02  6.78467960e+00
 -9.50072310e+01  2.82644392e+01  9.46084570e+00 -1.02234702e+02
 -1.24260423e+02 -2.17316537e+02  6.20123825e+01  4.47059277e+01
  1.33527313e+01  3.06789052e+01  5.35564694e+01  1.43487201e+01
  2.54327117e+01 -2.07622570e+02 -1.82995368e+02 -1.43500198e+02
 -2.09724170e+02 -1.87969861e+02 -9.80577234e+01  3.45936779e+01
  2.72792407e+01  7.24793999e+01  4.95103054e+01  1.11272840e+01
 -9.58361229e+01 -2.22384096e+02 -1.33345265e+02 -1.66888908e+02
 -1.65996883e+02  1.51962101e+01  4.28253720e+01  2.73847535e+01
 -9.64934158e+01  4.04106600e+01 -1.89868511e+02 -1.43789633e+02]",46.64428329233384,7.091449975967407
5,0.15146356992888377*cos(0.34227036957061285*x1**3+2.0185185462218267*x1**2+-0.10690790889007196*x1+-0.6149299359175064)+0.23186158418107627,C*cos(C*x1**3+C*x1**2+C*x1+C)+C,"       x₁
 x₁ - ℯ  
ℯ        ","exp,sub,x1,exp,x1","[1.33605955e-02 4.77140836e-10 9.78295803e-03 1.92113106e-02
 1.23455100e-45 5.54125930e-13 3.06402521e-02 1.48269757e-02
 1.27842370e-02 4.04062156e-02 8.79050173e-03 2.14926231e-02
 6.98937795e-03 2.83320663e-20 2.60624880e-15 1.13877650e-02
 1.88773402e-02 2.80666947e-02 2.43978598e-27 2.56402050e-49
 2.07926075e-02 1.56482192e-52 2.20254451e-02 4.53257991e-56
 2.10247424e-34 8.65332779e-31 2.36843364e-02 9.43512604e-53
 2.34564598e-02 3.39631282e-24 3.93225301e-36 1.53066170e-16
 2.07217116e-02 6.98081745e-03 1.30332837e-02 1.48820887e-61
 1.05892730e-02 6.99585483e-49 1.85204467e-08 1.30543144e-11
 3.97108608e-22 1.00668703e-02 7.94952213e-03 9.04737941e-25
 3.78617528e-02 2.26866893e-51 9.95265612e-03 7.89507716e-03
 3.71538535e-02 5.34014215e-41 1.50149506e-23 4.41956288e-19
 6.15097835e-13 3.99290337e-31 1.88992933e-48 5.59188177e-20
 2.91164072e-02 1.03434077e-02 5.49659581e-33 3.99068242e-31
 3.46976471e-02 7.12515487e-31 1.77668114e-08 3.58667081e-02
 3.27956868e-02 3.06272837e-02 1.13329806e-18 2.23785530e-02
 1.92927197e-02 2.55912816e-02 2.89196316e-29 4.37379744e-13
 1.29516844e-02 1.38560996e-02 6.96867937e-03 2.73610691e-02
 6.75757385e-41 1.10043153e-02 5.56068884e-10 1.54214117e-17
 1.40457074e-16 5.25163971e-40 2.40799877e-02 2.33602831e-58
 1.50779366e-12 1.91698522e-13 4.75505529e-62 2.19662420e-16
 1.01159734e-14 2.81479598e-02 3.17440889e-02 2.92677150e-02
 2.35131233e-02 9.09619377e-09 1.13482397e-18 1.46679918e-39
 5.17295198e-24 6.90198374e-03 6.06780662e-57 2.16462202e-02
 8.91524818e-03 1.44208933e-10]",0.02347295085546353,6.881679058074951
6,1.2789031484072102*x1**2*0.4254683894306588*sin(-1.4702423509506524*x1+1.9420645830303367)/-1.3175230923489853*sin(0.5574100009789444*x1)+-0.11805577720374916*x1*-0.9255423701896361*log(-0.8904693886232893*x1)+-0.5978376065084614,C*x1**2*C*sin(C*x1+C)/C*sin(C*x1)+C*x1*C*log(C*x1)+C,"   ⎛             2          ⎞
   ⎜           x₁  - x₁     ⎟
   ⎜     -x₁ + ────────     ⎟
   ⎜              x₁        ⎟
   ⎜     ──────────────     ⎟
   ⎜            2           ⎟
   ⎜          x₁            ⎟
   ⎜ x₁⋅ℯ               + x₁⎟
   ⎜ ───────────────────────⎟
   ⎜            x₁          ⎟
cos⎝ℯ                       ⎠","cos,exp,add,sub,div,add,mul,x1,exp,div,div,sub,div,add,sub,sub,mul,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1,x1","[0.88115361 0.72274637 0.75227048 0.70082399 0.70342975 0.69641916
 0.90243652 0.91340905 0.7866968  0.89682954 0.71653339 0.69830665
 0.85098865 0.79037905 0.72295397 0.77340121 0.71753804 0.75104909
 0.88657036 0.84327715 0.69837684 0.6965935  0.68230572 0.75179757
 0.75291668 0.74459234 0.74855348 0.90319318 0.87649223 0.69048169
 0.91890367 0.91773692 0.77959407 0.8483153  0.70124992 0.69734676
 0.71012882 0.71330987 0.6833717  0.69465501 0.68127114 0.76572272
 0.82694053 0.84854209 0.81236329 0.82323841 0.73926717 0.89959065
 0.89954866 0.69988172 0.68308701 0.76390819]",0.7614021840902517,6.556977272033691
7,-0.222926257400196*x1+-1.119876888829691*cos(-1.4663229561358064*x1+-1.8920840864560469)+-1.4705458034551437,C*x1+C*cos(C*x1+C)+C,cos(3),"cos,div,add,x1,add,x1,x1,x1","[-0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925
 -0.9899925 -0.9899925 -0.9899925 -0.9899925 -0.9899925]",0.07088747195455897,7.234513282775879
8,-0.8778181099318241*x1+1.8466293320097211,C*x1+C,"       sin(x₁)
-x₁ + ℯ       ","sub,exp,sin,x1,x1","[ 7.59654123  4.20956854 -3.60638245  6.14495637  4.79099229 -2.3048811
 -4.19352814  6.33858626 -3.1993619   7.3920194   7.39059146  7.47985886
  3.87750379 -2.16798294 -4.53423386  5.70228942 -2.92631665 -3.7965929
  5.98250913 -3.9757088  -2.28220288 -2.92373762  4.16907203 -3.0448232
 -3.64366956 -3.16672584 -3.87009     6.97905968 -4.51253311  7.49157457
 -2.41662303 -2.87755504 -2.31273484 -4.21904588  7.51182281 -3.20797804
 -4.2385716   7.4715504  -1.90579615  4.29351557 -4.08615987  7.54572022
 -4.22650526  6.94169452 -4.41588727 -4.41480883  7.5813279  -4.40847421
 -3.40906703 -4.34560188 -2.73441001 -3.59147335 -3.10717498  4.20765649
 -2.5836032   5.60126715  4.71653755 -4.16222279  4.56094785  7.60171562
 -2.6462904   7.59771699 -2.02291971  3.91621284 -4.23400951  7.05718839
  3.95498182 -3.98027724  5.87720526 -2.2823801   7.41875918 -4.32530817
  5.46931085  4.82416621 -4.47419799 -2.84374776  7.17726079  7.5361265
  4.59607895 -2.2431339   6.39496573 -2.3020603  -4.01707505  7.48105285
 -4.25481088  5.08500166 -4.38322653  7.01438881 -2.96311116 -3.31136646
  5.74903377  5.0625472  -1.90159144 -3.78262621 -2.50299236 -1.95171454
  7.39668585  4.3348998   6.92768815  4.53847857  7.57553141  7.44178249
 -2.97751294 -2.24264659  7.3352159   5.26041433  5.723463   -3.28335775
 -3.73924291 -3.65242483 -4.6098787   7.21404712  7.57077802 -2.80413762
  7.38212805]",0.05089565956151975,6.740426540374756
9,-1.1861353386353424*sqrt(0.43101780911764376*abs(0.6615650464579779*x1**2+2.0275531419952153*x1))+0.9071237895547246,C*sqrt(C*abs(C*x1**2+C*x1))+C,"   ⎛sin(x₁)⎞
log⎜───────⎟
   ⎝   x₁  ⎠","log,div,sin,x1,x1","[        nan         nan         nan -3.64503888         nan         nan
         nan         nan         nan         nan         nan -4.63768811
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan -3.4235916          nan
         nan         nan         nan         nan         nan         nan
 -4.5205715          nan         nan         nan         nan         nan
         nan         nan -3.75289931         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan -3.69027387         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
 -3.18999009         nan         nan         nan -4.94448423         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan         nan         nan         nan
         nan         nan         nan -3.61042662         nan         nan
         nan         nan]",,7.067058086395264
