test_index,true_equation,true_skeleton,predicted_equation,predicted_tree,predicted_y,rel_err,dsr_time
0,-1.4608810703863337*exp(-1.3662906591107051*x1/(1.6570892466721525*x1))+-0.5481326790673482,C*exp(C*x1/(C*x1))+C,log(log(0.738)),log(log(0.738)),"[-1.19339888 -1.19339888 -1.19339888 -1.19339888 -1.19339888 -1.19339888
 -1.19339888 -1.19339888 -1.19339888 -1.19339888 -1.19339888 -1.19339888
 -1.19339888 -1.19339888 -1.19339888 -1.19339888 -1.19339888 -1.19339888
 -1.19339888 -1.19339888 -1.19339888 -1.19339888 -1.19339888 -1.19339888
 -1.19339888 -1.19339888 -1.19339888 -1.19339888 -1.19339888 -1.19339888]",3.457932702909365e-06,9.766205072402954
1,1.1403591164702722*exp(1.7427877515535224*cos(-1.149658736972913*cos(2.062871639512284*x1+-0.7918402496419443)))+1.619683611730018,C*exp(C*cos(C*cos(C*x1+C)))+C,"exp(sqrt(log(mul(div(sqrt(sqrt(sin(add(add(-0.732, X0), mul(X0, X0))))), log(0.810)), exp(exp(sin(add(add(-0.732, X0), mul(X0, add(-0.271, X0))))))))))","exp(sqrt(log(mul(div(sqrt(sqrt(sin(add(add(-0.732, X0), mul(X0, X0))))), log(0.810)), exp(exp(sin(add(add(-0.732, X0), mul(X0, add(-0.271, X0))))))))))","[7.41292918 5.94397287 7.33487996 4.89299191 4.99491625 6.14307418
 4.11147521 4.19814613 6.91768277 2.7206484  4.20252534 7.24227897
 4.55007703 5.89766381 5.61004334 4.10904224 5.30532768 4.42364125
 6.66855141 5.60543538 4.92837179 4.0182135  4.82961194 4.03363443
 5.54981019 5.00666205 4.49839132 7.5860003  4.48415696 5.40644268]",0.13480488522945203,119.40848803520203
2,0.06010712637217708*log(0.1486634326449896*x1)+-1.011475334964657*log(0.6976231486456381*x1+-1.981583949308552)+0.7738533121898117,C*log(C*x1)+C*log(C*x1+C)+C,exp(sqrt(exp(0.178))),exp(sqrt(exp(0.178))),"[2.98321013 2.98321013 2.98321013 2.98321013 2.98321013 2.98321013
 2.98321013 2.98321013 2.98321013 2.98321013 2.98321013 2.98321013
 2.98321013 2.98321013 2.98321013 2.98321013 2.98321013 2.98321013
 2.98321013 2.98321013 2.98321013 2.98321013 2.98321013 2.98321013
 2.98321013 2.98321013 2.98321013 2.98321013 2.98321013 2.98321013]",2.1653142310546527e-05,94.78093576431274
3,1.279205025886061,C,"add(div(X0, X0), div(-0.109, -0.391))","add(div(X0, X0), div(-0.109, -0.391))","[1.27933614 1.27933614 1.27933614 1.27933614 1.27933614 1.27933614
 1.27933614 1.27933614 1.27933614 1.27933614 1.27933614 1.27933614
 1.27933614 1.27933614 1.27933614 1.27933614 1.27933614 1.27933614
 1.27933614 1.27933614 1.27933614 1.27933614 1.27933614 1.27933614
 1.27933614 1.27933614 1.27933614 1.27933614 1.27933614 1.27933614]",2.4534432856681446e-09,5.260923624038696
4,-0.05730522040913799,C,"div(mul(0.595, -0.129), exp(0.254))","div(mul(0.595, -0.129), exp(0.254))","[-0.05955078 -0.05955078 -0.05955078 -0.05955078 -0.05955078 -0.05955078
 -0.05955078 -0.05955078 -0.05955078 -0.05955078 -0.05955078 -0.05955078
 -0.05955078 -0.05955078 -0.05955078 -0.05955078 -0.05955078 -0.05955078
 -0.05955078 -0.05955078 -0.05955078 -0.05955078 -0.05955078 -0.05955078
 -0.05955078 -0.05955078 -0.05955078 -0.05955078 -0.05955078 -0.05955078]",1.6068272638520737e-05,5.258636951446533
5,0.2933024838525835*exp(-0.7028184469241887*x1/(-1.8715536927065193*x1+-1.4735047480460468))*0.510627044063078*exp(0.09923265041980178/(-0.9445628982113046*x1+-0.6975891370963321))*-0.692922645683756*exp(-1.857738354419997*sin(-0.868679743321972*x1))+-1.0419219046606336,C*exp(C*x1/(C*x1+C))*C*exp(C/(C*x1+C))*C*exp(C*sin(C*x1))+C,"div(sqrt(sqrt(exp(sin(add(add(X0, -0.418), log(-0.834)))))), -0.736)","div(sqrt(sqrt(exp(sin(add(add(X0, -0.418), log(-0.834)))))), -0.736)","[-1.53398272 -1.71662466 -1.71014843 -1.65661073 -1.65129754 -1.73987847
 -1.74361903 -1.70345718 -1.72860024 -1.71277989 -1.66954705 -1.52446338
 -1.74346262 -1.59163558 -1.74348634 -1.73864082 -1.52429074 -1.68738218
 -1.72931173 -1.68389096 -1.61312007 -1.61702659 -1.64848986 -1.72360277
 -1.72284735 -1.71400816 -1.70441241 -1.73816188 -1.52516549 -1.52683305]",0.020209411855580842,93.7258574962616
6,1.8336194079001045*x1**4+-2.0367786109089385*x1+0.7109889762194626,C*x1**4+C*x1+C,"add(add(add(mul(log(exp(X0)), div(log(X0), sin(sin(0.456)))), sqrt(0.644)), mul(mul(X0, X0), div(mul(mul(log(exp(X0)), log(X0)), div(sqrt(X0), sqrt(0.644))), 0.456))), log(exp(-0.101)))","add(add(add(mul(log(exp(X0)), div(log(X0), sin(sin(0.456)))), sqrt(0.644)), mul(mul(X0, X0), div(mul(mul(log(exp(X0)), log(X0)), div(sqrt(X0), sqrt(0.644))), 0.456))), log(exp(-0.101)))","[ -484.26594219  -287.77319329 -1061.79625105  -982.03613934
  -481.10400822  -631.71641653 -1165.87917554  -247.42845133
  -277.36583253 -1148.58979266  -876.91293355  -860.5164596
  -159.09708185  -435.05128848  -978.52776993  -218.70477735
  -307.68969712  -157.72383742  -387.64212646  -765.96478998
  -269.3612178   -152.77672625  -282.30081036 -1089.49369058
 -1209.65025851  -589.59725236  -474.03198464  -329.15883881
  -245.36741525  -266.58586181]",0.9118623232067374,135.30850076675415
7,0.7249659213207647*x1**3+0.037761912620654314*exp(0.9337161229953903*x1)*-0.8258804692822055*sin(-1.1168230373643915*x1)+-1.4375293124273107*sin(-2.078593550391383*x1+-0.27424895133865834)+-0.7890638201545794,C*x1**3+C*exp(C*x1)*C*sin(C*x1)+C*sin(C*x1+C)+C,"add(log(log(X0)), add(log(-0.577), mul(mul(0.672, X0), mul(X0, X0))))","add(log(log(X0)), add(log(-0.577), mul(mul(0.672, X0), mul(X0, X0))))","[-32.54250254 -44.72890342 -34.12437476 -25.0508813  -45.09048425
 -39.79135277 -77.22263304 -24.90748994 -37.55164625 -49.98110543
 -42.60251166 -39.12757303 -52.29298778 -65.22414907 -23.63357332
 -83.64907542 -32.34912414 -47.58837562 -62.8378482  -21.96742287
 -19.72990272 -78.53125724 -25.35363358 -77.61860331 -66.79051826
 -56.9419593  -31.58382647 -22.45284918 -31.4475729  -25.03794414]",0.08107447086567912,89.87673234939575
8,-1.4578249284371814*x1+-1.4261517852927028*x1/(-0.02933742483007551*x1+0.12679435657374905)+-1.1123126626533613,C*x1+C*x1/(C*x1+C)+C,"add(add(-0.648, mul(log(div(0.463, div(X0, -0.109))), add(exp(X0), div(log(div(mul(X0, sqrt(0.143)), -0.779)), sqrt(mul(exp(X0), log(-0.015))))))), div(X0, -0.109))","add(add(-0.648, mul(log(div(0.463, div(X0, -0.109))), add(exp(X0), div(log(div(mul(X0, sqrt(0.143)), -0.779)), sqrt(mul(exp(X0), log(-0.015))))))), div(X0, -0.109))","[25.42403725 22.51622746 21.93523075 21.32963553 25.17943888 21.24706784
 24.82176744 24.95086991 25.13379389 25.43020531 24.89584098 25.4269416
 25.4320667  25.52931974 23.94795375 24.00919815 21.0578051  25.24722341
 25.54134619 25.48485357 23.51585418 24.89153957 25.3373822  24.4138369
 24.94174877 25.10272295 25.20814042 23.0230203  25.55449787 22.42669627]",0.1983650828348857,133.1317310333252
9,0.46360789242661893*exp(0.7214163317172724*x1)+1.3764057571147692,C*exp(C*x1)+C,"add(0.610, sqrt(add(0.610, exp(X0))))","add(0.610, sqrt(add(0.610, exp(X0))))","[1.40553987 1.40404436 1.41560068 1.40095883 1.39995537 1.39817712
 1.4002069  1.40946575 1.40474207 1.41092189 1.39757318 1.4085582
 1.41867098 1.39570289 1.39730599 1.42071343 1.39961483 1.39879875
 1.40192087 1.41474129 1.40409235 1.39769751 1.41506545 1.41590452
 1.40157931 1.40365853 1.39708124 1.40390796 1.4146083  1.40759157]",1.84939128717552e-06,93.35340285301208
10,2.083601632821535*x1**5+-0.654398914518507*x1**5+-0.7763074679503026*x1**4+0.6023520888997069*x1**3+-0.4574182755809073*x1**2+-0.8636037198386552*x1+2.0839987999480827,C*x1**5+C*x1**5+C*x1**4+C*x1**3+C*x1**2+C*x1+C,"add(log(add(div(sqrt(X0), mul(X0, 0.165)), sin(sin(log(X0))))), add(mul(add(mul(add(sin(log(X0)), exp(0.290)), mul(exp(X0), mul(X0, X0))), add(mul(div(div(X0, exp(X0)), exp(X0)), 0.276), mul(div(mul(div(X0, exp(X0)), 0.276), sin(exp(X0))), sqrt(sqrt(add(X0, 0.553)))))), sin(sin(log(X0)))), log(sqrt(add(div(X0, log(X0)), mul(sin(-0.973), sqrt(sqrt(add(X0, 0.553)))))))))","add(log(add(div(sqrt(X0), mul(X0, 0.165)), sin(sin(log(X0))))), add(mul(add(mul(add(sin(log(X0)), exp(0.290)), mul(exp(X0), mul(X0, X0))), add(mul(div(div(X0, exp(X0)), exp(X0)), 0.276), mul(div(mul(div(X0, exp(X0)), 0.276), sin(exp(X0))), sqrt(sqrt(add(X0, 0.553)))))), sin(sin(log(X0)))), log(sqrt(add(div(X0, log(X0)), mul(sin(-0.973), sqrt(sqrt(add(X0, 0.553)))))))))","[-17081.81331965  -1737.84017449  -1520.72689827 -16729.53900228
  -9759.51949605 -32771.78257291  -6009.75843467 -41865.69894344
  -9980.30006557  -1782.87145893  -5922.45583512  -4248.62944438
 -19487.16753149 -20017.65297231 -22112.9464891   -1752.37084985
  -5927.11337243 -30648.86718231   -907.75960319   -894.05329582
  -4692.48963371  -5707.27522652  -2701.767584    -1179.54534666
 -19540.52219398 -12114.39701392  -3536.10827852 -15170.38276977
  -6983.50313115  -4846.96533928]",19513.569170350744,148.01332092285156
11,1.0890448011637175*x1**2+-1.4851840684443518,C*x1**2+C,"add(mul(sqrt(mul(sqrt(mul(sqrt(mul(div(X0, 0.933), div(X0, 0.933))), X0)), mul(div(X0, 0.595), sqrt(-0.462)))), X0), log(mul(0.478, -0.472)))","add(mul(sqrt(mul(sqrt(mul(sqrt(mul(div(X0, 0.933), div(X0, 0.933))), X0)), mul(div(X0, 0.595), sqrt(-0.462)))), X0), log(mul(0.478, -0.472)))","[-13.9099552  -17.18439399 -16.36962157 -11.72860505 -27.28063652
 -15.36612733 -11.4236619  -15.31091391 -17.22862831 -14.98976836
 -21.08252303 -12.50241201 -23.95907782 -15.18685038 -13.72950927
 -12.73750737 -13.33542265 -13.21989081 -17.17383723 -26.69460344
 -12.33369086 -22.25578002 -25.29258726 -19.92833346 -13.10129928
 -26.01942005 -16.28289727 -13.48480372 -14.07568462 -19.03080349]",3.5838161600399593e-06,78.45864152908325
