test_index,true_equation,true_skeleton,predicted_equation,predicted_tree,predicted_y,rel_err,dsr_time
0,-1.4608810703863337*exp(-1.3662906591107051*x1/(1.6570892466721525*x1))+-0.5481326790673482,C*exp(C*x1/(C*x1))+C,"log(log(add(exp(0.235), add(-0.848, 0.321))))","log(log(add(exp(0.235), add(-0.848, 0.321))))","[-1.1872658 -1.1872658 -1.1872658 -1.1872658 -1.1872658 -1.1872658
 -1.1872658 -1.1872658 -1.1872658 -1.1872658 -1.1872658 -1.1872658
 -1.1872658 -1.1872658 -1.1872658 -1.1872658 -1.1872658 -1.1872658
 -1.1872658 -1.1872658 -1.1872658 -1.1872658 -1.1872658 -1.1872658
 -1.1872658 -1.1872658 -1.1872658 -1.1872658 -1.1872658 -1.1872658]",2.9604995300019386e-07,1.974125623703003
1,0.9397283929441147*exp(-1.7138582239614426*x1)*-2.0077425853788546*cos(-1.3353942241925272*x1**2+-0.9402324542557938*x1)+0.7279997618628564,C*exp(C*x1)*C*cos(C*x1**2+C*x1)+C,sqrt(-0.068),sqrt(-0.068),"[0.25994685 0.25994685 0.25994685 0.25994685 0.25994685 0.25994685
 0.25994685 0.25994685 0.25994685 0.25994685 0.25994685 0.25994685
 0.25994685 0.25994685 0.25994685 0.25994685 0.25994685 0.25994685
 0.25994685 0.25994685 0.25994685 0.25994685 0.25994685 0.25994685
 0.25994685 0.25994685 0.25994685 0.25994685 0.25994685 0.25994685]",274.6866633258459,9.782958745956421
2,0.5035538309121157*x1**5+-1.7880275308333555*x1**4+1.9763031036747143*x1**3+0.64126273976877*x1**2*1.9018843748420244*log(0.8634365809569955*x1)+-1.6578296868442013*x1**2+-0.4515420744032035*x1+1.133184078275951,C*x1**5+C*x1**4+C*x1**3+C*x1**2*C*log(C*x1)+C*x1**2+C*x1+C,"add(div(sqrt(X0), exp(sin(X0))), div(mul(log(X0), add(X0, X0)), sin(sqrt(div(mul(log(X0), add(X0, X0)), 0.795)))))","add(div(sqrt(X0), exp(sin(X0))), div(mul(log(X0), add(X0, X0)), sin(sqrt(div(mul(log(X0), add(X0, X0)), 0.795)))))","[ -34.66466549  -44.49343999  -14.14911156   22.18663361   27.13046143
  -10.30189998  -10.85894098   38.27826092   17.62447816   16.84503897
  -28.74320206   16.85917529   19.31074732 -122.95408703  -10.86927557
   59.02477276  -10.44391984  -10.66081076  -49.59477943  -11.88156811
  -11.59027709  -44.71854235  125.22408986   17.2007409    16.87798793
  -38.62985618   17.02730865  -19.80719534  -10.63344      17.10703235]",68.46007590145165,11.863138198852539
3,0.25685479717362014*x1/(1.3240180394403067*x1+-0.16002606291656596)+1.3023923419772578,C*x1/(C*x1+C)+C,exp(0.393),exp(0.393),"[1.4812252 1.4812252 1.4812252 1.4812252 1.4812252 1.4812252 1.4812252
 1.4812252 1.4812252 1.4812252 1.4812252 1.4812252 1.4812252 1.4812252
 1.4812252 1.4812252 1.4812252 1.4812252 1.4812252 1.4812252 1.4812252
 1.4812252 1.4812252 1.4812252 1.4812252 1.4812252 1.4812252 1.4812252
 1.4812252 1.4812252]",3.7878280392352795e-05,9.44138216972351
4,0.9633718254570423*x1*1.9148717606989867*log(0.9006877952636358*x1**4+1.6669653267307702*x1**3+0.5648574464503451*x1**2+-1.2276559446229411*x1+-0.6261005199630683)*-1.7718715377928107*sin(1.342774419612362*x1)+0.6767932552032421,C*x1*C*log(C*x1**4+C*x1**3+C*x1**2+C*x1+C)*C*sin(C*x1)+C,"div(sqrt(mul(X0, X0)), log(sin(sin(X0))))","div(sqrt(mul(X0, X0)), log(sin(sin(X0))))","[ -8.75685462  -5.78897336  -1.03940134  -3.43464983  -0.73011891
 -26.37556386  -2.07543337  -1.38117091  -0.64310419 -27.11271904
 -14.12992657  -1.83766075 -22.20766941  -5.59055493 -27.32207172
 -25.77316429 -25.91311928 -27.32231908 -24.87384288  -2.92998753
 -13.4293139   -1.15148434  -5.86180939 -26.74942669  -8.84909911
  -1.57455448 -11.5177788   -1.52047808 -14.18672483  -1.69520036]",10.912831897702963,10.847333431243896
5,-2.03995581177251*x1**2+1.784589431926912*x1+-0.0323998685508311,C*x1**2+C*x1+C,"mul(div(X0, -0.744), sqrt(mul(mul(X0, X0), log(X0))))","mul(div(X0, -0.744), sqrt(mul(mul(X0, X0), log(X0))))","[-15.23444465  24.54550199  30.73687519 -30.72253986  22.54170434
  16.4673349  -40.17838845  18.10501117  28.18255823  40.73067765
  38.60847697  27.18727933  14.73827823  33.07959044 -17.84456728
 -20.88834277  28.11760942 -34.88999268 -38.13746458  16.94767416
 -32.20862965 -14.34934286  14.97623198 -25.51663355  41.57373513
 -21.32042495 -20.84994771  14.25392029 -25.69003792 -15.99652712]",0.0005508049672110042,10.649801254272461
6,0.7857267985261505*x1+1.8322960722393105*sin(1.4963571161610014*x1)+0.7030234480140063,C*x1+C*sin(C*x1)+C,"add(sin(X0), add(sin(sin(add(add(X0, -0.087), sin(X0)))), add(sin(X0), sin(0.584))))","add(sin(X0), add(sin(sin(add(add(X0, -0.087), sin(X0)))), add(sin(X0), sin(0.584))))","[ 2.89536689  2.59755478 -0.54272544  0.0281337   2.85758128  2.81612182
  1.84044813  0.48499455  0.54722353  0.40380544 -0.35914847 -1.87761673
  1.05500068  0.48466599  3.16723354  2.11361364  2.48692361  1.18264249
  0.84068276 -1.52440613  1.30943149  1.00206375  2.03333702  0.64062977
  0.40061244  2.56165353  2.55444463  2.65284816 -1.94111007  0.90366894]",1.2419748002696462,9.987753629684448
7,-0.961876108374458*x1+-1.250800758696987/x1+-1.0663702739185705,C*x1+C/x1+C,"add(add(mul(div(-0.713, X0), exp(X0)), div(-0.713, X0)), sin(mul(X0, -0.909)))","add(add(mul(div(-0.713, X0), exp(X0)), div(-0.713, X0)), sin(mul(X0, -0.909)))","[ -0.77943422  -9.34181689 -14.18072147  -5.53427196   0.42403446
  -0.48936028  -5.93644558  -6.88342475   0.03040394  -7.06188404
  -0.60902108  -0.38186943  -0.03496423   0.15945942 -18.34913415
  -0.45992977   0.26669      0.27333321 -10.5944685    0.47285325
  -0.82696151  -0.5169483    0.10458544  -8.69643664  -0.55768612
  -0.83467048   0.39586292   0.26354916  -0.42074263  -0.02769902]",0.8408997424773036,10.517289638519287
8,-1.1721166123163602*x1**5+1.6974628250176984*x1**4+-1.8183674492315656*x1**3+0.28345722200202106*x1**2+-0.20747095003007954*x1+-1.8057037618847964,C*x1**5+C*x1**4+C*x1**3+C*x1**2+C*x1+C,"mul(log(div(div(0.551, X0), X0)), mul(add(X0, X0), mul(X0, X0)))","mul(log(div(div(0.551, X0), X0)), mul(add(X0, X0), mul(X0, X0)))","[ 181.36696056  228.16496932  570.17191218  908.36318102 -533.8876723
  923.72189301 -384.26185765  500.19977946 -357.57166061  476.50542064
 -687.65102764  377.4257901  -880.1759772  -805.99705509  158.61947713
 -791.82578738  445.30438314  366.62793133 -263.15984881  478.10797648
 -405.78567257 -629.79238507  383.5096449  -357.52844747  559.52728224
 -418.83463115  501.63615488  659.19284985 -230.08864319 -270.60548794]",89.28773412730166,10.446552038192749
9,0.5429391980551586*x1**4+0.5587698685776163*x1**2+0.26202636943628077,C*x1**4+C*x1**2+C,"mul(mul(X0, X0), mul(X0, sqrt(X0)))","mul(mul(X0, X0), mul(X0, sqrt(X0)))","[ 201.39193277  -86.36056043  -57.18338437 -232.74712922  134.18575595
  -75.07673095   81.73875979 -169.78362598   91.14365712   53.14793702
   51.53879355 -248.73248086  -84.43058361   63.61604133 -183.18315437
  -74.74937632  -48.99448159  196.11517845  -50.18708456  -97.95720591
  -74.96669312   65.99952059  214.02770839   54.39003571  -70.1212618
 -211.48277712   98.57532849  125.05326771 -158.8042294  -114.80881215]",0.7880618118170898,9.521734476089478
