test_index,true_equation,true_skeleton,predicted_equation,predicted_tree,predicted_y,rel_err,dsr_time
0,-1.4608810703863337*sqrt(-1.3662906591107051*abs(1.6570892466721525*exp(-0.5481326790673482*x1)))+1.029360105369968,C*sqrt(C*abs(C*exp(C*x1)))+C,"log(sin(exp(add(mul(X0, 0.589), div(-0.380, mul(0.329, 0.921))))))","log(sin(exp(add(mul(X0, 0.589), div(-0.380, mul(0.329, 0.921))))))","[-2.00313512e-01 -3.98025801e+00 -7.49311463e-02 -3.28748218e+00
 -3.74720215e+00 -2.31768676e-01 -3.75999166e+00 -3.37913476e+00
 -2.07598488e-02 -3.18435951e+00 -3.82050870e+00 -3.55958376e-01
 -8.65679804e-03 -1.30425705e-01 -3.29937128e+00 -2.04832319e+00
 -3.38232660e+00 -3.95698534e+00 -1.54314307e-01 -1.59813559e-01
 -1.84819464e-01 -3.20734613e-01 -3.92092973e+00 -3.35174092e+00
 -3.16143349e+00 -3.39040525e+00 -4.14535260e+00 -3.18369715e+00
 -1.64125086e+00 -3.17890033e-01 -1.42187056e+00 -6.28380134e-01
 -3.02648588e+00 -9.68752027e-01 -1.83545745e-01 -2.20996085e+00
 -3.09010850e+00 -8.70652508e-02 -3.67195314e+00 -3.80401514e+00
 -1.51827272e-01 -2.43770972e+00 -6.76199758e-04 -3.10017144e+00
 -4.18438054e+00 -3.19467964e+00 -5.31889063e-01 -3.08708353e+00
 -5.12684874e-01 -1.03166296e+00 -4.04667847e+00 -4.08751415e+00
 -2.30138276e-01 -4.80236764e-01 -5.24354167e-02 -1.74377576e+00
 -2.01652731e-01 -1.05754414e+00 -4.12396441e-01 -3.36251975e+00
 -2.97282940e+00 -3.56535223e+00 -3.74348538e+00 -1.23266238e-02
 -3.92442049e+00 -2.46442517e+00 -3.35952338e+00 -3.55450751e+00
 -1.18804670e-01 -3.77727594e+00 -7.10556066e-03 -4.08887497e+00
 -5.21242015e-01 -3.15887596e+00 -2.49835865e-01 -5.65421725e-01
 -3.77499072e+00 -2.20312843e-01 -1.14035826e-01 -3.39912828e+00
 -3.07314507e+00 -3.51114862e+00 -3.19209078e+00 -6.75324250e-01
 -3.91617018e+00 -1.63435457e+00 -1.11365626e-01 -5.95716684e-01
 -3.41227955e+00 -5.24683656e-01 -3.54829230e+00 -6.45505601e-02
 -5.83853271e-02 -4.10811232e+00 -3.57490636e+00 -3.07415285e+00
 -4.02831448e-02 -7.55551777e-01]",0.0746161885049783,10.565474510192871
1,0.874830041464461*cos(0.9179645388293869*cos(-0.7156556238213949*x1+-1.4590500085806406))+0.9990596752816039,C*cos(C*cos(C*x1+C))+C,exp(0.465),exp(0.465),"[1.59143687 1.59143687 1.59143687 1.59143687 1.59143687 1.59143687
 1.59143687 1.59143687 1.59143687 1.59143687 1.59143687 1.59143687
 1.59143687 1.59143687 1.59143687 1.59143687 1.59143687 1.59143687
 1.59143687 1.59143687 1.59143687 1.59143687 1.59143687 1.59143687
 1.59143687 1.59143687 1.59143687 1.59143687 1.59143687 1.59143687
 1.59143687 1.59143687 1.59143687 1.59143687 1.59143687 1.59143687
 1.59143687 1.59143687 1.59143687 1.59143687 1.59143687 1.59143687
 1.59143687 1.59143687 1.59143687 1.59143687 1.59143687 1.59143687
 1.59143687 1.59143687 1.59143687 1.59143687 1.59143687 1.59143687
 1.59143687 1.59143687 1.59143687 1.59143687 1.59143687 1.59143687
 1.59143687 1.59143687 1.59143687 1.59143687 1.59143687 1.59143687
 1.59143687 1.59143687 1.59143687 1.59143687 1.59143687 1.59143687
 1.59143687 1.59143687 1.59143687 1.59143687 1.59143687 1.59143687
 1.59143687 1.59143687 1.59143687 1.59143687 1.59143687 1.59143687
 1.59143687 1.59143687 1.59143687 1.59143687 1.59143687 1.59143687
 1.59143687 1.59143687 1.59143687 1.59143687 1.59143687 1.59143687
 1.59143687 1.59143687 1.59143687 1.59143687 1.59143687 1.59143687
 1.59143687 1.59143687 1.59143687 1.59143687 1.59143687 1.59143687
 1.59143687 1.59143687 1.59143687 1.59143687 1.59143687 1.59143687
 1.59143687 1.59143687 1.59143687 1.59143687 1.59143687 1.59143687
 1.59143687 1.59143687 1.59143687 1.59143687]",0.002426490751853253,10.057539701461792
2,-0.39221196080270926*cos(1.0847239700245166*x1)+-1.985702898339889,C*cos(C*x1)+C,log(-0.136),log(-0.136),"[-1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616
 -1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616
 -1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616
 -1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616
 -1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616
 -1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616
 -1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616
 -1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616
 -1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616
 -1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616
 -1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616
 -1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616
 -1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616
 -1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616
 -1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616
 -1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616
 -1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616
 -1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616
 -1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616
 -1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616
 -1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616
 -1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616
 -1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616 -1.99276616
 -1.99276616]",0.0024109179785009715,9.570374965667725
3,0.6715183727423595*sqrt(-0.28317813903818045*abs(0.44797974327529166*x1+-0.6514347671693759))+0.2868957209968017,C*sqrt(C*abs(C*x1+C))+C,0.660,0.660,"[0.65980097 0.65980097 0.65980097 0.65980097 0.65980097 0.65980097
 0.65980097 0.65980097 0.65980097 0.65980097 0.65980097 0.65980097
 0.65980097 0.65980097 0.65980097 0.65980097 0.65980097 0.65980097
 0.65980097 0.65980097 0.65980097 0.65980097 0.65980097 0.65980097
 0.65980097 0.65980097 0.65980097 0.65980097 0.65980097 0.65980097
 0.65980097]",0.005212462721420789,8.682940483093262
4,0.5614129726281232*x1+-1.6688291481606639*exp(-1.4029160521934774*x1)+-0.3628742150092332,C*x1+C*exp(C*x1)+C,"add(log(mul(log(add(sin(0.009), div(X0, -0.704))), mul(sqrt(0.570), X0))), div(add(X0, X0), exp(X0)))","add(log(mul(log(add(sin(0.009), div(X0, -0.704))), mul(sqrt(0.570), X0))), div(add(X0, X0), exp(X0)))","[    1.64107605     1.68299102  -130.37044698 -1134.0789036
  -442.56958913     1.98822799  -700.38019783     1.68068147
     1.73202179     1.97139855     2.03545156  -247.22140627
 -1087.46282764  -330.30424425 -1475.9431433      1.66150493
     1.52023998     1.65920944     1.91793518  -272.58398602
     1.84323592 -1059.09921813 -1173.29255475  -239.38735044
 -1132.15467831     2.04769428     1.54709912  -823.8910188
     1.81155359  -549.27549919  -653.21052932     1.89622169
 -1078.93522834  -308.75689688  -332.81280135  -197.76999495
  -124.15697297     1.7854075   -169.14108226  -324.6463379
 -1435.03712669     1.54209711     1.99838801     2.06796205
     1.96824352     1.96384259  -917.18441368  -745.53308545
     1.91204115     1.92888446     1.56201461 -1110.80219645
     2.03503617     1.61375973     1.70858571     2.03323088
  -584.30588178  -133.11137224  -204.01159973 -1014.70670856
  -212.49211395     1.90350792     2.03692837  -141.55135323
  -929.59595985 -1117.65307164     1.53762213 -1068.47262041
     1.73481515  -809.86258219     1.98365046 -1047.23348604
     1.58906992  -265.81383449 -1087.52837019     1.75183142
  -255.20130923     1.69945327     1.50122606  -291.14846779
  -420.15821217 -1397.36504601     2.00482265     1.84943799
     1.78587162     1.95040948     1.92500053     1.94530565
     1.67814565 -1255.00189911  -940.75660878  -559.75732152
 -1284.92417221  -999.05097665  -270.01256221     1.8610654
     1.71061568     2.06320232     2.03608222     1.918145
  -259.17452992 -1476.30416937  -482.72012747  -768.5944974
  -759.76750968     1.80186644     2.0478964      1.69663663
  -262.3523428      1.93111714 -1021.96806783  -562.06791588]",1.780134819126675,12.544118165969849
5,0.15146356992888377*cos(0.34227036957061285*x1**3+2.0185185462218267*x1**2+-0.10690790889007196*x1+-0.6149299359175064)+0.23186158418107627,C*cos(C*x1**3+C*x1**2+C*x1+C)+C,0.309,0.309,"[0.30865679 0.30865679 0.30865679 0.30865679 0.30865679 0.30865679
 0.30865679 0.30865679 0.30865679 0.30865679 0.30865679 0.30865679
 0.30865679 0.30865679 0.30865679 0.30865679 0.30865679 0.30865679
 0.30865679 0.30865679 0.30865679 0.30865679 0.30865679 0.30865679
 0.30865679 0.30865679 0.30865679 0.30865679 0.30865679 0.30865679
 0.30865679 0.30865679 0.30865679 0.30865679 0.30865679 0.30865679
 0.30865679 0.30865679 0.30865679 0.30865679 0.30865679 0.30865679
 0.30865679 0.30865679 0.30865679 0.30865679 0.30865679 0.30865679
 0.30865679 0.30865679 0.30865679 0.30865679 0.30865679 0.30865679
 0.30865679 0.30865679 0.30865679 0.30865679 0.30865679 0.30865679
 0.30865679 0.30865679 0.30865679 0.30865679 0.30865679 0.30865679
 0.30865679 0.30865679 0.30865679 0.30865679 0.30865679 0.30865679
 0.30865679 0.30865679 0.30865679 0.30865679 0.30865679 0.30865679
 0.30865679 0.30865679 0.30865679 0.30865679 0.30865679 0.30865679
 0.30865679 0.30865679 0.30865679 0.30865679 0.30865679 0.30865679
 0.30865679 0.30865679 0.30865679 0.30865679 0.30865679 0.30865679
 0.30865679 0.30865679 0.30865679 0.30865679 0.30865679 0.30865679]",0.007630687123516663,8.803263902664185
6,1.2789031484072102*x1**2*0.4254683894306588*sin(-1.4702423509506524*x1+1.9420645830303367)/-1.3175230923489853*sin(0.5574100009789444*x1)+-0.11805577720374916*x1*-0.9255423701896361*log(-0.8904693886232893*x1)+-0.5978376065084614,C*x1**2*C*sin(C*x1+C)/C*sin(C*x1)+C*x1*C*log(C*x1)+C,"sin(sin(sin(log(mul(X0, sqrt(log(X0)))))))","sin(sin(sin(log(mul(X0, sqrt(log(X0)))))))","[0.73110635 0.74169686 0.74492142 0.73726992 0.73790099 0.73613277
 0.72414226 0.71979627 0.74544733 0.72615165 0.74063695 0.73663107
 0.73831637 0.74531926 0.7417298  0.74562067 0.74081823 0.74484238
 0.72949824 0.73973247 0.73664928 0.7361795  0.73184404 0.74489134
 0.74496146 0.74435052 0.74466715 0.72386065 0.73240824 0.73445314
 0.71739112 0.71791565 0.74559684 0.7388257  0.73737515 0.73637975
 0.73938805 0.74002879 0.7322047  0.73565173 0.73148791 0.74550907
 0.74221133 0.73878326 0.74384924 0.7426778  0.74384847 0.72517893
 0.72519396 0.7370342  0.732109   0.74545937]",0.7571096973206698,9.22603464126587
7,-0.222926257400196*x1+-1.119876888829691*cos(-1.4663229561358064*x1+-1.8920840864560469)+-1.4705458034551437,C*x1+C*cos(C*x1+C)+C,log(-0.203),log(-0.203),"[-1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928
 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928
 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928
 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928
 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928
 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928
 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928
 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928
 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928
 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928
 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928
 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928
 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928
 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928
 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928
 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928
 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928
 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928
 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928
 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928
 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928
 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928
 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928
 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928
 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928
 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928
 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928
 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928
 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928
 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928
 -1.59640928 -1.59640928 -1.59640928 -1.59640928 -1.59640928]",0.06747421010865252,9.486807107925415
8,-0.8778181099318241*x1+1.8466293320097211,C*x1+C,"add(div(X0, X0), add(mul(X0, -0.826), exp(-0.180)))","add(div(X0, X0), add(mul(X0, -0.826), exp(-0.180)))","[ 5.93300424  4.45865799 -1.51803646  5.14470666  4.68069136 -0.82933745
 -1.93681553  5.21264262 -1.27104891  5.69821264  5.69714179  5.77241767
  4.31787132 -0.77138642 -2.22094623  4.99443569 -1.12288197 -1.64514939
  5.08902964 -1.77214471 -0.81959247 -1.12154408  4.44212443 -1.18557443
 -1.5423448  -1.25263598 -1.69638075  5.46557747 -2.20168933  5.78397824
 -0.87824416 -1.09777273 -0.83272614 -1.95689645  5.80532435 -1.27594306
 -1.97238061  5.76451939 -0.66574337  4.49242467 -1.85417786  5.8463117
 -1.9627996   5.44872095 -2.11803239 -2.11711716  5.90162044 -2.11174894
 -1.39419062 -2.05916575 -1.02626378 -1.50839864 -1.21954163  4.45788101
 -0.95427665  4.96048246  4.65361665 -1.91241537  4.59589481  5.94572754
 -0.9838002   5.93577691 -0.71212937  4.33493238 -1.96875351  5.50226824
  4.35183786 -1.77548006  5.05334233 -0.81966839  5.71893888 -2.04245425
  4.91605291  4.69265107 -2.16810768 -1.08059185  5.56351184  5.83388171
  4.60907241 -0.80294166  5.23287206 -0.8281221  -1.80252513  5.77357241
 -1.9853382   4.78476443 -2.09048277  5.48190968 -1.14209064 -1.33576338
  5.01015179  4.77695335 -0.66410065 -1.63554936 -0.91711138 -0.68378262
  5.70173624  4.5088303   5.44250427  4.58741985  5.89127277  5.7379497
 -1.14967139 -0.80273505  5.6579556   4.84517449  5.00155328 -1.31935634
 -1.60600227 -1.54809514 -2.28958346  5.58380101  5.88326938 -1.06069458
  5.69086352]",0.0010400435939531558,11.183748245239258
9,-1.1861353386353424*sqrt(0.43101780911764376*abs(0.6615650464579779*x1**2+2.0275531419952153*x1))+0.9071237895547246,C*sqrt(C*abs(C*x1**2+C*x1))+C,"mul(sin(log(div(-0.715, X0))), sqrt(X0))","mul(sin(log(div(-0.715, X0))), sqrt(X0))","[-2.06104653 -2.01735897 -2.04001435 -1.73789822 -2.05661795 -2.06994653
 -1.97659764 -1.829501   -1.76600103 -1.80763903 -1.92990982 -1.75509537
 -1.89979251 -1.99936637 -1.83016325 -2.07328225 -1.8839265  -1.89470645
 -1.89246401 -1.79131573 -2.05958455 -1.92646787 -1.81528703 -1.97335604
 -1.95096687 -1.98701536 -2.0207387  -1.85289691 -2.05452691 -1.89127059
 -1.84562186 -2.07581341 -2.08097862 -1.99225447 -2.05693378 -1.88450712
 -1.76868161 -1.95555599 -2.05191846 -1.84585945 -1.73110655 -1.87784191
 -1.93447592 -1.93483915 -2.06058797 -1.79885731 -2.03509458 -1.78173324
 -1.75383921 -1.92394949 -2.03910837 -1.97614158 -2.04543079 -1.97911544
 -2.07714507 -2.06576448 -1.74069627 -1.97975336 -1.77354656 -1.91011975
 -1.97884811 -2.03017427 -1.77518105 -1.99354928 -1.93997385 -1.93808552
 -1.95054438 -1.81633086 -2.0059934  -1.90675248 -1.88216534 -1.83628114
 -1.82132624 -1.79153659 -1.73910875 -1.82058391 -2.01366558 -1.90783914
 -1.98500346 -2.0513104  -2.04198034 -2.06549735 -1.92337643 -1.90889065
 -1.97109974 -1.97876356 -1.9809517  -2.07518529 -2.07666512 -2.0743732
 -1.72208967 -1.87705848 -1.84451355 -2.07512495 -1.75776553 -1.98244465
 -1.7944021  -2.05737933 -2.06012496 -2.00623107 -2.00713038 -2.07118508
 -2.0648354  -1.98875838 -1.89662282 -1.99740382 -1.93820824 -2.00120929
 -1.90421533 -1.83523213 -1.95281115 -1.90991631 -1.79583742 -1.9784685
 -1.94053154 -1.91081626 -1.88920741 -2.0379235  -2.07798344 -1.9307601
 -1.88280917 -2.06000917 -2.05964161 -1.73693401 -1.88809721 -2.06555905
 -1.9458647  -2.0545758 ]",0.010624765696872665,10.450872898101807
