test_index,true_equation,true_skeleton,predicted_equation,predicted_tree,predicted_y,rel_err,dsr_time
0,-1.4608810703863337*sqrt(-1.3662906591107051*abs(1.6570892466721525*exp(-0.5481326790673482*x1)))+1.029360105369968,C*sqrt(C*abs(C*exp(C*x1)))+C,"log(mul(log(add(sqrt(sqrt(add(sqrt(-0.996), exp(X0)))), exp(X0))), -0.387))","log(mul(log(add(sqrt(sqrt(add(sqrt(-0.996), exp(X0)))), exp(X0))), -0.387))","[ 0.65785119 -5.4113213   0.58643855 -4.21840175 -5.00401002  0.66052526
 -5.02618272 -4.37335963  0.60082738 -4.04502888 -5.13136424  0.5501008
  0.19107202  0.285926   -4.23845703  0.48139742 -4.37877066 -5.37031072
  0.29516501  0.29713902  0.30551388  0.55345643 -5.30693311 -4.32695985
 -4.00662885 -4.39247055 -5.70482562 -4.04391872  0.43962027  0.339016
  0.49481403  0.52922501 -3.78170745  0.51104318  0.65630728  0.45116002
 -3.88750828  0.26542429 -4.87393099 -5.10265333  0.29425488  0.47632941
  0.61351444 -3.90428229 -5.77495219 -4.06233193  0.37291451 -3.88246803
  0.37047218  0.41521471 -5.52883534 -5.60145173  0.56316272  0.3661282
  0.24314481  0.44226588  0.31066975  0.50726849  0.54510572 -4.34520847
  0.47186089 -4.69070157 -4.99756997  0.19848119 -5.31306085  0.47604682
 -4.34013447 -4.67212692  0.28097638 -5.05617847  0.60731141 -5.60387672
  0.37157174 -4.00234843  0.32373836  0.53341261 -5.05221058  0.31600221
  0.64867976 -4.40727023  0.47125369 -4.59798013 -4.05799037  0.38866436
 -5.2985809   0.4893365   0.27762221  0.53135813 -4.42959679  0.37200882
 -4.66148697  0.58864385  0.24755145 -5.63819409 -4.70707558 -3.86093375
  0.23303092  0.39593595]",0.010969376643519503,98.76261377334595
1,0.874830041464461*cos(0.9179645388293869*cos(-0.7156556238213949*x1+-1.4590500085806406))+0.9990596752816039,C*cos(C*cos(C*x1+C))+C,exp(0.476),exp(0.476),"[1.60987247 1.60987247 1.60987247 1.60987247 1.60987247 1.60987247
 1.60987247 1.60987247 1.60987247 1.60987247 1.60987247 1.60987247
 1.60987247 1.60987247 1.60987247 1.60987247 1.60987247 1.60987247
 1.60987247 1.60987247 1.60987247 1.60987247 1.60987247 1.60987247
 1.60987247 1.60987247 1.60987247 1.60987247 1.60987247 1.60987247
 1.60987247 1.60987247 1.60987247 1.60987247 1.60987247 1.60987247
 1.60987247 1.60987247 1.60987247 1.60987247 1.60987247 1.60987247
 1.60987247 1.60987247 1.60987247 1.60987247 1.60987247 1.60987247
 1.60987247 1.60987247 1.60987247 1.60987247 1.60987247 1.60987247
 1.60987247 1.60987247 1.60987247 1.60987247 1.60987247 1.60987247
 1.60987247 1.60987247 1.60987247 1.60987247 1.60987247 1.60987247
 1.60987247 1.60987247 1.60987247 1.60987247 1.60987247 1.60987247
 1.60987247 1.60987247 1.60987247 1.60987247 1.60987247 1.60987247
 1.60987247 1.60987247 1.60987247 1.60987247 1.60987247 1.60987247
 1.60987247 1.60987247 1.60987247 1.60987247 1.60987247 1.60987247
 1.60987247 1.60987247 1.60987247 1.60987247 1.60987247 1.60987247
 1.60987247 1.60987247 1.60987247 1.60987247 1.60987247 1.60987247
 1.60987247 1.60987247 1.60987247 1.60987247 1.60987247 1.60987247
 1.60987247 1.60987247 1.60987247 1.60987247 1.60987247 1.60987247
 1.60987247 1.60987247 1.60987247 1.60987247 1.60987247 1.60987247
 1.60987247 1.60987247 1.60987247 1.60987247]",0.0020659423650946866,84.72417616844177
2,-0.39221196080270926*cos(1.0847239700245166*x1)+-1.985702898339889,C*cos(C*x1)+C,"add(sqrt(mul(0.607, X0)), add(log(-0.078), -0.357))","add(sqrt(mul(0.607, X0)), add(log(-0.078), -0.357))","[-1.27342755 -1.28526116 -1.42895604 -1.30859893 -1.32992327 -1.20350372
 -1.33793627 -1.47915719 -1.18456366 -1.2604539  -1.19571107 -1.24567423
 -1.17222767 -1.22187158 -1.20103363 -1.43769311 -1.21669809 -1.43067972
 -1.32992128 -1.50148448 -1.20721124 -1.31954751 -1.33240964 -1.48230142
 -1.46557173 -1.48289237 -1.30986941 -1.41534715 -1.45744526 -1.18107128
 -1.4613654  -1.21742656 -1.21337959 -1.33556482 -1.53560348 -1.31293175
 -1.49034385 -1.32422873 -1.27728016 -1.25267709 -1.49430586 -1.31579138
 -1.19300512 -1.24020031 -1.34302183 -1.41795891 -1.44758765 -1.41799794
 -1.4221604  -1.19561317 -1.30224782 -1.17904198 -1.38937156 -1.298755
 -1.19204664 -1.51515621 -1.50806321 -1.26238273 -1.37638313 -1.41477463
 -1.41610859 -1.4623708  -1.25800009 -1.35053514 -1.44921933 -1.55371372
 -1.16584996 -1.30024811 -1.3144572  -1.31329841 -1.23741189 -1.44455144
 -1.54896369 -1.321117   -1.44012981 -1.17526934 -1.52628486 -1.30858171
 -1.52495804 -1.28297735 -1.54111898 -1.30484633 -1.35521012 -1.32301305
 -1.55101255 -1.5091212  -1.33089545 -1.30636621 -1.37065303 -1.45053582
 -1.52950627 -1.24986947 -1.37557734 -1.28995707 -1.2566345  -1.44739451
 -1.49846826 -1.36548318 -1.18343995 -1.52213181 -1.47824874 -1.28527846
 -1.1753113  -1.30013477 -1.17119288 -1.37205333 -1.3147024  -1.38727783
 -1.32544696 -1.24205306 -1.37586669 -1.18302354 -1.20435341 -1.54696948
 -1.20861372 -1.34029688 -1.38200896 -1.45009705 -1.32470637 -1.36040492
 -1.26249863 -1.37247016 -1.38730324 -1.28955305 -1.35359144 -1.3140648
 -1.25192199 -1.47661109 -1.44451296 -1.4287952  -1.28525125 -1.51542888
 -1.42106334 -1.51686241 -1.26911402 -1.17025568 -1.32659684 -1.33492399
 -1.39973154]",0.01653849250582548,91.6429078578949
3,0.6715183727423595*sqrt(-0.28317813903818045*abs(0.44797974327529166*x1+-0.6514347671693759))+0.2868957209968017,C*sqrt(C*abs(C*x1+C))+C,0.640,0.640,"[0.64030012 0.64030012 0.64030012 0.64030012 0.64030012 0.64030012
 0.64030012 0.64030012 0.64030012 0.64030012 0.64030012 0.64030012
 0.64030012 0.64030012 0.64030012 0.64030012 0.64030012 0.64030012
 0.64030012 0.64030012 0.64030012 0.64030012 0.64030012 0.64030012
 0.64030012 0.64030012 0.64030012 0.64030012 0.64030012 0.64030012
 0.64030012]",0.006314743410461036,73.91777276992798
4,0.5614129726281232*x1+-1.6688291481606639*exp(-1.4029160521934774*x1)+-0.3628742150092332,C*x1+C*exp(C*x1)+C,"mul(add(sin(log(sqrt(X0))), div(add(X0, -0.798), exp(X0))), exp(0.391))","mul(add(sin(log(sqrt(X0))), div(add(X0, -0.798), exp(X0))), exp(0.391))","[ 9.83582313e-01  9.96272764e-01 -1.21851988e+02 -9.79313750e+02
 -3.92866052e+02  1.08483321e+00 -6.12782018e+02  9.95579082e-01
  1.01086774e+00  1.08003098e+00  1.09829204e+00 -2.24306580e+02
 -9.40061382e+02 -2.96286862e+02 -1.26639386e+03  9.89795057e-01
  9.45489119e-01  9.89099675e-01  1.06474806e+00 -2.46337012e+02
  1.04328615e+00 -9.16163770e+02 -1.01231110e+03 -2.17490035e+02
 -9.77694054e+02  1.10177780e+00  9.54183008e-01 -7.17509880e+02
  1.03412334e+00 -4.84146011e+02 -5.72693230e+02  1.05852556e+00
 -9.32877672e+02 -2.77667896e+02 -2.98452531e+02 -1.81171206e+02
 -1.16341225e+02  1.02652375e+00 -1.56063839e+02 -2.91400847e+02
 -1.23210764e+03  9.52574737e-01  1.08773076e+00  1.10754554e+00
  1.07913030e+00  1.07787373e+00 -7.96414724e+02 -6.51106725e+02
  1.06306004e+00  1.06788199e+00  9.58950425e-01 -9.59717569e+02
  1.09817374e+00  9.75184162e-01  1.00392134e+00  1.09765962e+00
 -5.14025730e+02 -1.24280182e+02 -1.86630657e+02 -8.78738076e+02
 -1.94040988e+02  1.06061482e+00  1.09871259e+00 -1.31747245e+02
 -8.06900463e+02 -9.65485921e+02  9.51131794e-01 -9.24062522e+02
  1.01169239e+00 -7.05630939e+02  1.08352736e+00 -9.06163002e+02
  9.67494854e-01 -2.40461749e+02 -9.40116592e+02  1.01670193e+00
 -2.31244165e+02  1.00120017e+00  9.39245500e-01 -2.62428757e+02
 -3.73636457e+02 -1.20051773e+03  1.08956528e+00  1.04507485e+00
  1.02665900e+00  1.07403658e+00  1.06677060e+00  1.07257796e+00
  9.94816735e-01 -1.08100700e+03 -8.16327199e+02 -4.93090714e+02
 -1.10614427e+03 -8.65532360e+02 -2.44105930e+02  1.04842439e+00
  1.00452507e+00  1.10619135e+00  1.09847163e+00  1.06480814e+00
 -2.34696280e+02 -1.26669639e+03 -4.27262852e+02 -6.70663078e+02
 -6.63179048e+02  1.03131210e+00  1.10183533e+00  1.00035917e+00
 -2.37456316e+02  1.06852075e+00 -8.84861834e+02 -4.95061994e+02]",4.977563736898817,125.97406005859375
5,0.15146356992888377*cos(0.34227036957061285*x1**3+2.0185185462218267*x1**2+-0.10690790889007196*x1+-0.6149299359175064)+0.23186158418107627,C*cos(C*x1**3+C*x1**2+C*x1+C)+C,0.291,0.291,"[0.29067265 0.29067265 0.29067265 0.29067265 0.29067265 0.29067265
 0.29067265 0.29067265 0.29067265 0.29067265 0.29067265 0.29067265
 0.29067265 0.29067265 0.29067265 0.29067265 0.29067265 0.29067265
 0.29067265 0.29067265 0.29067265 0.29067265 0.29067265 0.29067265
 0.29067265 0.29067265 0.29067265 0.29067265 0.29067265 0.29067265
 0.29067265 0.29067265 0.29067265 0.29067265 0.29067265 0.29067265
 0.29067265 0.29067265 0.29067265 0.29067265 0.29067265 0.29067265
 0.29067265 0.29067265 0.29067265 0.29067265 0.29067265 0.29067265
 0.29067265 0.29067265 0.29067265 0.29067265 0.29067265 0.29067265
 0.29067265 0.29067265 0.29067265 0.29067265 0.29067265 0.29067265
 0.29067265 0.29067265 0.29067265 0.29067265 0.29067265 0.29067265
 0.29067265 0.29067265 0.29067265 0.29067265 0.29067265 0.29067265
 0.29067265 0.29067265 0.29067265 0.29067265 0.29067265 0.29067265
 0.29067265 0.29067265 0.29067265 0.29067265 0.29067265 0.29067265
 0.29067265 0.29067265 0.29067265 0.29067265 0.29067265 0.29067265
 0.29067265 0.29067265 0.29067265 0.29067265 0.29067265 0.29067265
 0.29067265 0.29067265 0.29067265 0.29067265 0.29067265 0.29067265]",0.006590129152498724,74.42541003227234
6,1.2789031484072102*x1**2*0.4254683894306588*sin(-1.4702423509506524*x1+1.9420645830303367)/-1.3175230923489853*sin(0.5574100009789444*x1)+-0.11805577720374916*x1*-0.9255423701896361*log(-0.8904693886232893*x1)+-0.5978376065084614,C*x1**2*C*sin(C*x1+C)/C*sin(C*x1)+C*x1*C*log(C*x1)+C,"sin(sin(add(exp(sqrt(X0)), add(exp(0.461), sqrt(add(X0, -0.722))))))","sin(sin(add(exp(sqrt(X0)), add(exp(0.461), sqrt(add(X0, -0.722))))))","[-0.34414406 -0.55035815 -0.8096592  -0.09794399  0.16688605  0.332481
  0.29443589  0.41139383 -0.83924472 -0.16849982 -0.44598491  0.28872068
 -0.62298319 -0.84119727 -0.27887936 -0.81462767 -0.16409897 -0.80491561
 -0.28507089 -0.42501725  0.28707805  0.01125003  0.38357604 -0.8078683
 -0.8120145  -0.62132943 -0.7939847   0.30288014 -0.39320495  0.46319478
  0.46516177  0.45402888 -0.82977811 -0.36790013 -0.10868988  0.31107828
 -0.31759092 -0.38394183  0.59973681  0.06235933  0.40873637 -0.78524173
 -0.76602143 -0.64099459 -0.8160739  -0.62162535 -0.55516115  0.26221831
 -0.13686355  0.251641    0.60464632 -0.77632966]",0.4714580102303288,96.0873007774353
7,-0.222926257400196*x1+-1.119876888829691*cos(-1.4663229561358064*x1+-1.8920840864560469)+-1.4705458034551437,C*x1+C*cos(C*x1+C)+C,"add(mul(sqrt(X0), sin(sin(mul(sqrt(-0.751), add(X0, X0))))), log(0.216))","add(mul(sqrt(X0), sin(sin(mul(sqrt(-0.751), add(X0, X0))))), log(0.216))","[-3.24794407  0.25993201 -0.51419665 -0.25137772 -2.51125326 -0.51148999
 -0.44895269 -1.11748668 -2.58959507 -3.26613552 -0.47563345 -2.81049719
  0.24912914 -2.80326175 -3.1808873   0.16193819  0.11403229 -0.65533028
 -0.10830115 -0.07536341 -3.00423099 -2.7914292  -2.69345316 -0.51300147
  0.2483243  -2.83234079 -1.73163982 -1.78288305  0.26273578 -2.85870876
 -0.0726394  -1.34066984 -1.95210299 -2.26894675 -1.64751285 -2.72351344
 -1.54425369 -1.10410187 -3.21128929 -3.32562882 -2.98063612 -1.24842567
  0.04104271 -3.06933581 -0.08528067 -2.13377541 -2.74123557 -3.2756095
 -2.54259595 -1.94879059  0.05729564 -2.87206528 -0.3352419   0.06749755
 -3.31421524 -3.32918865 -2.73478264  0.21168325 -0.42473223  0.26281425
  0.26173756  0.25691282 -0.19561279 -0.03069577 -3.10915575 -2.91916494
 -2.14333135  0.24305388 -1.88222629 -2.32135918 -0.23510326 -3.3034118
 -1.89038049 -0.03669598 -3.24550681 -1.39393997  0.25983475 -2.18046782
 -0.42955927 -3.25607901 -1.03815702  0.24815335 -0.00653921  0.242738
 -3.16912354 -3.03387164 -2.51819923 -3.16035163 -3.3151748  -2.40751266
 -3.32201732 -0.26327835 -2.82594456  0.01725307 -2.76335098 -2.27138935
 -1.49316569 -2.87309902 -3.22422486 -0.04864572 -3.3245748  -3.16983756
 -0.49171146 -0.23657805  0.04354731 -0.80505992 -1.43601783 -0.3273884
 -0.79661332 -3.01355457 -3.23764096 -3.2253779  -0.80668099 -1.70429554
 -3.31988615 -2.01290303 -0.21804889 -1.27025275 -1.85768324  0.05477791
 -0.24013816 -2.48517244 -0.11838733 -0.33442629  0.21838896 -2.78213338
 -3.28782505 -0.176423   -0.30635679 -3.27601117 -0.02301511 -3.28452
 -1.77584032 -3.31416641 -2.59164995 -0.86317736 -3.24784543 -2.02760279
 -2.36983062 -1.84969313 -1.41409326 -1.80171041  0.21980962 -0.06851607
 -3.06566387 -2.40946976 -0.80969176 -0.05543444 -3.330854   -2.26479941
 -3.32055555 -2.66348599  0.18489105  0.1515156  -2.33270613 -2.14030745
 -0.22426627 -3.22420199  0.24858636 -3.27805267  0.2019616   0.19971052
 -2.81084628 -1.10576609  0.09148269 -3.3233444  -2.67537976 -1.90397581
  0.25248835 -2.82844693 -3.32710572 -2.84350721 -3.02288721 -1.233629
 -1.04723663 -0.37618982 -0.35576891 -1.6377574  -0.21714342 -1.57885652
 -3.1649771   0.15685135  0.25706263 -0.37814284 -3.32436869]",0.14922853579003292,92.6992621421814
8,-0.8778181099318241*x1+1.8466293320097211,C*x1+C,"add(exp(0.615), mul(-0.877, X0))","add(exp(0.615), mul(-0.877, X0))","[ 6.19736507  4.63291768 -1.7090281   5.36089257  4.86852009 -0.9782409
 -2.15339984  5.43298027 -1.4469465   5.94822474  5.94708845  6.02696463
  4.48352717 -0.91674834 -2.45489451  5.20143815 -1.28972469 -1.84390923
  5.30181298 -1.97866557 -0.96790038 -1.28830504  4.61537371 -1.35624845
 -1.73482199 -1.42740831 -1.89827147  5.70137263 -2.43446077  6.0392317
 -1.03013643 -1.26308096 -0.98183668 -2.17470796  6.06188233 -1.45213974
 -2.1911384   6.01858367 -0.80464916  4.66874793 -2.06571198  6.10537451
 -2.18097187  5.68348597 -2.34569134 -2.34472018  6.16406332 -2.33902389
 -1.57761372 -2.2832272  -1.18720191 -1.69880128 -1.39229147  4.63209322
 -1.11081546  5.16540995  4.83979077 -2.12750853  4.7785414   6.21086591
 -1.14214327  6.20030718 -0.85386993  4.50163087 -2.18728964  5.74030566
  4.5195695  -1.98220474  5.26394473 -0.96798094  5.97021762 -2.26549442
  5.11826519  4.88121068 -2.39882686 -1.24485011  5.80529202  6.0921849
  4.79252432 -0.95023199  5.45444599 -0.97695128 -2.01090262  6.02818994
 -2.20488786  4.97895333 -2.3164581   5.71870294 -1.31010726 -1.51561583
  5.2181147   4.9706649  -0.80290606 -1.83372252 -1.07137893 -0.82379084
  5.95196368  4.68615615  5.67688936  4.76954851  6.15308328  5.99039024
 -1.31815128 -0.95001276  5.90550748  5.04305521  5.20899072 -1.49820612
 -1.80236973 -1.74092374 -2.52772635  5.82682112  6.14459078 -1.22373686
  5.9404265 ]",6.495270690939488e-07,75.15970277786255
9,-1.1861353386353424*sqrt(0.43101780911764376*abs(0.6615650464579779*x1**2+2.0275531419952153*x1))+0.9071237895547246,C*sqrt(C*abs(C*x1**2+C*x1))+C,"log(log(div(sqrt(X0), exp(0.688))))","log(log(div(sqrt(X0), exp(0.688))))","[-2.4879618  -3.29470923 -2.83645973 -2.05175064 -2.55876606 -2.34524644
 -5.35606372 -2.48201081 -2.16093163 -2.35646588 -3.623946   -2.11676084
 -3.10260556 -3.81572306 -2.4861347  -2.2903178  -2.91726358 -3.03870851
 -3.0119811  -2.27402718 -2.51128379 -3.54634312 -2.39820457 -6.03971675
 -4.33754176 -4.38757498 -3.21681424 -2.64202814 -2.59244843 -2.99809033
 -2.58884358 -2.24748749 -2.15471583 -4.10834031 -2.55369649 -2.92338087
 -2.17217532 -4.60596648 -2.63482397 -2.5905272  -2.02747799 -2.85568672
 -3.73840379 -3.74816024 -2.49527385 -2.31106583 -2.92557162 -2.22931045
 -2.1118274  -3.49353461 -2.85255999 -5.42867155 -2.74268331 -5.02760899
 -2.22439214 -2.41267383 -2.06197126 -4.95867891 -2.1929962  -3.24899576
 -5.05791663 -3.01940968 -2.20011546 -4.04905984 -3.89853538 -3.84032498
 -4.3162601  -2.40407239 -3.59716738 -3.1985021  -2.89897401 -2.52525282
 -2.43275881 -2.27508789 -2.05615624 -2.42843107 -3.38535307 -3.21447948
 -4.51748    -2.64477124 -2.80195382 -2.41694882 -3.48194165 -3.2302243
 -7.1669205  -5.06769016 -4.8403895  -2.25823441 -2.23276831 -2.27200724
 -1.99636279 -2.84807536 -2.58103503 -2.2592624  -2.12735069 -4.70960409
 -2.28897881 -2.54655155 -2.50265928 -3.59002958 -3.56339453 -2.32500908
 -2.42753183 -4.28649256 -3.0622297  -3.88919825 -3.84399815 -3.75075011
 -3.16230279 -2.51841067 -4.43649421 -3.24586075 -2.29602827 -5.10253989
 -3.91645619 -3.25981517 -2.97459714 -2.87381857 -2.20960307 -3.6441924
 -2.90561437 -2.50450682 -2.51037299 -2.04825896 -2.96221854 -2.41596155
 -4.10803973 -2.59165825]",0.054366358793904224,96.34835124015808
