test_index,true_equation,true_skeleton,predicted_y,rel_err,dsr_time
0,-1.4608810703863337*sqrt(-1.3662906591107051*abs(1.6570892466721525*exp(-0.5481326790673482*x1)))+1.029360105369968,C*sqrt(C*abs(C*exp(C*x1)))+C,"[-5.18754864e-05 -5.55200693e+00 -5.18754864e-05 -4.33727887e+00
 -5.14340404e+00 -5.18754864e-05 -5.16582790e+00 -4.49801235e+00
 -5.18754864e-05 -4.15641344e+00 -5.27193113e+00 -5.18754864e-05
 -5.18754864e-05 -5.18754864e-05 -4.35812982e+00 -5.18754864e-05
 -4.50360974e+00 -5.51120554e+00 -5.18754864e-05 -5.18754864e-05
 -5.18754864e-05 -5.18754864e-05 -5.44799276e+00 -4.44997235e+00
 -4.11620106e+00 -4.51777685e+00 -5.84144320e+00 -4.15525169e+00
 -5.18754864e-05 -5.18754864e-05 -5.18754864e-05 -5.18754864e-05
 -3.87947790e+00 -5.18754864e-05 -5.18754864e-05 -5.18754864e-05
 -3.99108927e+00 -5.18754864e-05 -5.01146762e+00 -5.24301354e+00
 -5.18754864e-05 -5.18754864e-05 -5.18754864e-05 -4.00874147e+00
 -5.90986393e+00 -4.17451467e+00 -5.18754864e-05 -3.98578288e+00
 -5.18754864e-05 -5.18754864e-05 -5.66845338e+00 -5.74004453e+00
 -5.18754864e-05 -5.18754864e-05 -5.18754864e-05 -5.18754864e-05
 -5.18754864e-05 -5.18754864e-05 -5.18754864e-05 -4.46887509e+00
 -5.18754864e-05 -4.82455342e+00 -5.13688740e+00 -5.18754864e-05
 -5.45411279e+00 -5.18754864e-05 -4.46362040e+00 -4.80553771e+00
 -5.18754864e-05 -5.19613229e+00 -5.18754864e-05 -5.74243025e+00
 -5.18754864e-05 -4.11171508e+00 -5.18754864e-05 -5.18754864e-05
 -5.19212565e+00 -5.18754864e-05 -5.18754864e-05 -4.53307389e+00
 -5.18754864e-05 -4.72950880e+00 -4.16997391e+00 -5.18754864e-05
 -5.43964827e+00 -5.18754864e-05 -5.18754864e-05 -5.18754864e-05
 -4.55613627e+00 -5.18754864e-05 -4.79463959e+00 -5.18754864e-05
 -5.18754864e-05 -5.77615604e+00 -4.84130606e+00 -3.96309969e+00
 -5.18754864e-05 -5.18754864e-05]",0.009495822419537853,2.7616353034973145
1,0.874830041464461*cos(0.9179645388293869*cos(-0.7156556238213949*x1+-1.4590500085806406))+0.9990596752816039,C*cos(C*cos(C*x1+C))+C,"[1.64865315 1.68481428 1.62012598 1.63058187 1.62270439 1.81966281
 1.92670058 1.66158361 1.81921092 1.92151727 1.8067199  1.66050061
 1.87985723 1.91223413 1.79495551 1.64374345 1.77897326 1.88520796
 1.6722732  1.93001768 1.71189234 1.67565047 1.76951157 1.93534133
 1.80735374 1.82485061 1.7270562  1.84570385 1.80455592 1.83393166
 1.82909295 1.75826846 1.76715689 1.84882882 1.64797083 1.74534337
 1.78790301 1.83605352 1.72109879 1.72784973 1.74912726 1.80870445
 1.72152678 1.68312494 1.70752402 1.78078916 1.6098006  1.90618329
 1.82478514 1.74198718 1.79048181 1.70763121 1.78897227 1.63473778
 1.70084734 1.83620973 1.6684003  1.78825662 1.75069983 1.81800406
 1.74159585 1.77789584 1.71233174 1.62161729 1.78212554 1.87144097
 1.69815828 1.76429606 1.70556319 1.72518707 1.83400323 1.74576139
 1.71577418 1.81660754 1.91088763 1.7979809  1.94658814 1.8458713
 1.85105264 1.94941771 1.64178752 1.66743998 1.74689513 1.67273277
 1.94614305 1.80537617 1.68233059 1.77828608 1.94290987 1.84879251
 1.77584315 1.79442086 1.64828494 1.66169126 1.82679326 1.73869633
 1.65164782 1.91118349 1.87256946 1.8414469  1.92345018 1.78730393
 1.77203242 1.81252174 1.8558864  1.64735222 1.68030073 1.67949324
 1.64698378 1.7727413  1.80498324 1.83749946 1.75616545 1.6916623
 1.9286913  1.71014203 1.79214186 1.8504429  1.84133376 1.78697177
 1.67106707 1.81627168 1.68460831 1.72497916]",0.00015050315075485778,2.048980951309204
2,-0.39221196080270926*cos(1.0847239700245166*x1)+-1.985702898339889,C*cos(C*x1)+C,"[-1.36540883 -1.48684629 -1.52518424 -1.40293897 -1.42529546 -1.45404035
 -1.43361865 -1.56295676 -1.26694418 -1.35135876 -1.27958212 -1.47116322
 -1.25286302 -1.4615512  -1.28558741 -1.53368579 -1.45944394 -1.52686545
 -1.50408493 -1.56582891 -1.29253397 -1.41445501 -1.50503126 -1.55927803
 -1.55349242 -1.55948116 -1.40427937 -1.51184175 -1.55065767 -1.44475694
 -1.55202712 -1.30396549 -1.29944495 -1.50622904 -1.57726074 -1.49758379
 -1.56889239 -1.50191441 -1.48371493 -1.47396507 -1.57098343 -1.49868292
 -1.27652191 -1.32920243 -1.50905034 -1.51441187 -1.54719763 -1.51445025
 -1.53816431 -1.27947149 -1.39622239 -1.44391114 -1.48603497 -1.39251722
 -1.44931415 -1.57044348 -1.56805504 -1.47782874 -1.52150788 -1.53551118
 -1.51259152 -1.55396227 -1.34868885 -1.51187935 -1.54777197 -1.58321451
 -1.43838857 -1.49268489 -1.40911073 -1.40789173 -1.32613083 -1.54032391
 -1.58166059 -1.50072462 -1.54456433 -1.25634433 -1.57416637 -1.49590802
 -1.57372407 -1.37567991 -1.57908236 -1.49446539 -1.4514169  -1.41808367
 -1.60026946 -1.56841207 -1.50445559 -1.40058081 -1.46716172 -1.5482349
 -1.57523845 -1.47284316 -1.52121015 -1.48868155 -1.47554321 -1.54306658
 -1.57317391 -1.46190835 -1.44574293 -1.58550407 -1.56247269 -1.37814581
 -1.25639232 -1.49264094 -1.25167728 -1.51990625 -1.40936855 -1.52551789
 -1.4206274  -1.46970974 -1.47244174 -1.44556969 -1.4543896  -1.59822117
 -1.45613808 -1.43606256 -1.47863913 -1.54808066 -1.41985381 -1.51557494
 -1.47787474 -1.46900401 -1.52552721 -1.38271723 -1.51302625 -1.40869804
 -1.34205834 -1.55731773 -1.54611361 -1.54053645 -1.37811667 -1.58203266
 -1.53777106 -1.58277648 -1.36074974 -1.25060274 -1.5028183  -1.43049474
 -1.49638106]",0.010724578350048667,2.0543618202209473
3,0.6715183727423595*sqrt(-0.28317813903818045*abs(0.44797974327529166*x1+-0.6514347671693759))+0.2868957209968017,C*sqrt(C*abs(C*x1+C))+C,"[0.95222365 1.13490849 0.75239711 1.24807482 0.72557637 1.14976695
 1.3126134  1.17097516 1.20385383 0.98097744 0.65812276 0.90975918
 1.32485782 0.8861379  0.60566852 1.38065701 0.6069749  0.82593231
 1.2416785  0.53601619 0.5340813  0.76741537 1.1164562  1.32205214
 0.60097636 0.57010204 1.22171307 0.86492307 1.14726058 1.11747
 1.16628065]",0.01578035885801941,1.482097864151001
4,0.5614129726281232*x1+-1.6688291481606639*exp(-1.4029160521934774*x1)+-0.3628742150092332,C*x1+C*exp(C*x1)+C,"[  -0.31245472   -0.31245472 -113.15675883 -273.33906361 -201.80637094
   -0.31245472 -236.40328869   -0.31245472   -0.31245472   -0.31245472
   -0.31245472 -158.87804825 -270.09938138 -180.09294347 -293.77002679
   -0.31245472   -0.31245472   -0.31245472   -0.31245472 -165.9958221
   -0.31245472 -268.06171299 -275.96589719 -156.53883505 -273.20790947
   -0.31245472   -0.31245472 -248.78597104   -0.31245472 -218.00955263
 -231.10900876   -0.31245472 -269.49221415 -175.12696218 -180.65087467
 -142.74606072 -109.73761064   -0.31245472 -131.55889424 -178.81957561
 -291.58294219   -0.31245472   -0.31245472   -0.31245472   -0.31245472
   -0.31245472 -256.99984258 -241.15858272   -0.31245472   -0.31245472
   -0.31245472 -271.73786386   -0.31245472   -0.31245472   -0.31245472
   -0.31245472 -222.6728703  -114.61671637 -144.98058999 -264.76394738
 -147.91519924   -0.31245472   -0.31245472 -118.94145613 -258.03116344
 -272.21248419   -0.31245472 -268.74089307   -0.31245472 -247.47373188
   -0.31245472 -267.19354699   -0.31245472 -164.15950271 -270.10403015
   -0.31245472 -161.18955558   -0.31245472   -0.31245472 -170.81712059
 -197.92960361 -289.51454049   -0.31245472   -0.31245472   -0.31245472
   -0.31245472   -0.31245472   -0.31245472   -0.31245472 -281.17641126
 -258.94723605 -219.43420597 -283.00256734 -263.56753733 -165.30351638
   -0.31245472   -0.31245472   -0.31245472   -0.31245472   -0.31245472
 -162.31498141 -293.78906616 -208.30348989 -243.48114133 -242.60020319
   -0.31245472   -0.31245472   -0.31245472 -163.20337004   -0.31245472
 -265.31280767 -219.74480292]",40.06626229031669,5.825084924697876
5,0.15146356992888377*cos(0.34227036957061285*x1**3+2.0185185462218267*x1**2+-0.10690790889007196*x1+-0.6149299359175064)+0.23186158418107627,C*cos(C*x1**3+C*x1**2+C*x1+C)+C,"[0.30232272 0.28889985 0.31932385 0.28241515 0.5116798  0.30710674
 0.26315639 0.29662671 0.30473212 0.25570725 0.32514569 0.27623705
 0.33760606 0.34659119 0.31880332 0.31104585 0.28337939 0.26550291
 0.40729439 0.52753516 0.27806172 0.54044427 0.2748867  0.55377811
 0.45406103 0.43146437 0.27087786 0.54129785 0.27141201 0.38247682
 0.46404548 0.32428794 0.27824986 0.33767261 0.30367813 0.57288017
 0.3150094  0.52572067 0.27662379 0.29917762 0.36433969 0.31776582
 0.33061352 0.38724254 0.25746598 0.53587312 0.3183873  0.33098703
 0.2579754  0.4898122  0.37698595 0.33441764 0.30685853 0.43367224
 0.52390827 0.34361522 0.26452162 0.31628953 0.44549374 0.43367382
 0.25981814 0.4320213  0.27677607 0.25892596 0.26133333 0.26316773
 0.33288067 0.27400926 0.2821826  0.26796569 0.42113732 0.30766606
 0.30402126 0.30033189 0.3377671  0.26618274 0.48930282 0.3129137
 0.28842734 0.32843751 0.32444782 0.48481189 0.26996223 0.56196346
 0.30468986 0.30958219 0.57452233 0.32361219 0.31602133 0.26542568
 0.26220784 0.264383   0.27127872 0.27918515 0.33287845 0.48252492
 0.38093739 0.33828924 0.55694097 0.27584446 0.32437911 0.29248716]",0.013880715281604132,1.4493629932403564
6,1.2789031484072102*x1**2*0.4254683894306588*sin(-1.4702423509506524*x1+1.9420645830303367)/-1.3175230923489853*sin(0.5574100009789444*x1)+-0.11805577720374916*x1*-0.9255423701896361*log(-0.8904693886232893*x1)+-0.5978376065084614,C*x1**2*C*sin(C*x1+C)/C*sin(C*x1)+C*x1*C*log(C*x1)+C,"[-0.68722645  3.50749394  3.3200755   3.66432894 -0.68722645 -0.68722645
  2.60053806  2.55481236 -0.68722645 -0.68722645  3.55023038 -0.68722645
 -0.68722645 -0.68722645 -0.68722645 -0.68722645 -0.68722645  3.3273695
 -0.68722645  2.85432981 -0.68722645  3.6966716   3.81161501  3.32289537
  3.31623109 -0.68722645  3.34238625  2.5973844  -0.68722645 -0.68722645
  2.5318671   2.53674514 -0.68722645  2.83180234  3.66111268 -0.68722645
  3.59565741  3.5729148  -0.68722645  3.71173844  3.8203051  -0.68722645
 -0.68722645 -0.68722645 -0.68722645  2.94648262 -0.68722645  2.61240467
 -0.68722645 -0.68722645 -0.68722645 -0.68722645]",0.9042511489254352,4.107548713684082
7,-0.222926257400196*x1+-1.119876888829691*cos(-1.4663229561358064*x1+-1.8920840864560469)+-1.4705458034551437,C*x1+C*cos(C*x1+C)+C,"[ 0.36048797 -5.07192526  0.09702146  0.05352899 -3.835123   -4.6011298
  0.088507    0.15394454  0.26548896  0.4551655   0.09209864 -3.5989072
 -5.03394822 -3.60732227  0.34314738 -5.2825855  -5.31817505 -4.55925157
 -5.4291817  -5.41583914  0.3120381   0.28560971 -3.71141895 -4.60067141
 -5.17399232 -3.57163621 -4.17802035 -4.1590052  -5.09853445 -3.52608035
 -4.76372823 -4.31886428  0.21466513 -3.96029493  0.19289238 -3.68627446
 -4.24612353  0.15289534  0.46959529  0.42521162  0.5062056  -4.35184068
 -5.36144392  0.49455453 -5.41993218 -4.02024482  0.28027681  0.45204597
 -3.81636182  0.21442507 -5.35261994 -3.49822319  0.07081943 -5.34687342
  0.43461461  0.42021852 -3.6763174  -4.9682701  -4.62823284 -5.10282211
 -5.1232645  -5.05807689  0.03744054 -5.39648744  0.3288527   0.30056257
 -4.01616494 -5.01974706 -4.12144494 -3.93551565  0.04939899  0.38214824
 -4.11831432 -5.39918153  0.35974788 -4.29986391 -5.13599757  0.23159482
  0.08578673  0.36304392 -4.42812491 -5.03148156 -5.38530566 -5.01907304
  0.34057735  0.31643165  0.25906161  0.4798882   0.38929024  0.24960354
  0.3947408   0.05634404 -3.57994233 -5.37370939 -3.64952081 -3.95916172
  0.18187795 -3.49593196  0.35370803 -5.40445552  0.39728041  0.34073037
  0.09418706 -4.69398234 -4.82610824  0.1276532  -4.28485333 -4.66083911
 -4.51991005  0.50210543  0.46326526  0.46632126  0.12780227 -4.18808451
  0.43057668 -4.07019791  0.04463807  0.16560026  0.20786285 -4.83305066
 -4.69262337 -3.85016227 -4.74261985  0.07067394 -5.22479904 -3.63046278
  0.37473705 -4.7178153   0.06544144  0.45190751 -5.39299191  0.44883493
  0.20201748  0.38859305 -3.78524479 -4.49397875  0.3604578   0.22017229
  0.24650072 -4.13385879 -4.29267587 -4.15196241 -4.97952964 -4.76570923
  0.32143041  0.24976618  0.12807868 -4.77208867  0.41613657 -3.96221446
  0.39344304 -3.73474652 -5.26206433 -5.29103286 -3.93001508  0.22855145
  0.0464327   0.4666036  -5.03256576  0.3707718  -4.95594482 -4.95323873
  0.28774507 -4.40334854 -5.33264224  0.42757789  0.27363684 -4.11307676
 -5.16324072  0.28971894  0.42341431 -3.55457274  0.50089882 -4.35714752
  0.14837668  0.07772721  0.07437443  0.19219876 -4.70149766 -4.23367486
  0.47903324 -5.28676685 -5.05866521 -4.64351203  0.42656619]",0.1383862450245821,3.9976181983947754
8,-0.8778181099318241*x1+1.8466293320097211,C*x1+C,"[ 6.26262737  4.65853453 -1.4797471   5.4049574   4.90010746 -0.92751945
 -1.80998731  5.47887191 -1.28170216  6.00717345  6.00600836  6.08790874
  4.50535824 -0.88105189 -2.02689088  5.24146217 -1.16289571 -1.58167156
  5.34438064 -1.68350172 -0.91970551 -1.16182294  4.64054597 -1.21316515
 -1.49923855 -1.2669379  -1.62275101  5.75406574 -2.01219028  6.10048667
 -0.96673489 -1.14276208 -0.93023664 -1.82531696  6.1237113  -1.28562649
 -1.83713747  6.07931538 -0.79634287  4.69527277 -1.74690225  6.16830564
 -1.82982338  5.7357258  -1.94832711 -1.94762843  6.22848171 -1.94353036
 -1.38044233 -1.90338869 -1.08542321 -1.47201909 -1.24040147  4.65768917
 -1.02770092  5.20452096  4.8706501  -1.79136039  4.80784858  6.27647035
 -1.05137413  6.26564405 -0.83353711  4.52392072 -1.83436857  5.7939854
  4.54231393 -1.68617614  5.30555275 -0.91976639  6.02972366 -1.89063124
  5.15618148  4.91311965 -1.98655426 -1.12898572  5.86061861  6.15478178
  4.82218585 -0.90635419  5.5008816  -0.92654493 -1.70747088  6.08916509
 -1.84702921  5.01333925 -1.92729591  5.77183523 -1.17829803 -1.33359292
  5.25856132  5.00484078 -0.79502568 -1.57397386 -0.99790026 -0.8108075
  6.01100714  4.71312215  5.72896203  4.79862779  6.21722342  6.05040749
 -1.18437659 -0.90618853  5.96337368  5.07906556  5.24920613 -1.32043708
 -1.55028177 -1.50384941 -2.07928811  5.88269328  6.2085157  -1.11303126
  5.9991776 ]",0.0008290490583498411,1.694579839706421
9,-1.1861353386353424*sqrt(0.43101780911764376*abs(0.6615650464579779*x1**2+2.0275531419952153*x1))+0.9071237895547246,C*sqrt(C*abs(C*x1**2+C*x1))+C,"[-3.01488463 -2.73092099 -2.86644517 -1.85777172 -2.98930028 -3.11447355
 -2.52842705 -2.06430903 -1.91694575 -2.01786854 -2.36260551 -1.89359374
 -2.2655124  -2.62937971 -2.0659626  -3.15211999 -2.21031941 -2.24204539
 -2.23535747 -1.97321878 -3.0144989  -2.35097069 -2.03624977 -2.52466854
 -2.42821899 -2.58293709 -2.7494588  -2.12444339 -2.96005371 -2.23181743
 -2.10535372 -3.18324833 -3.24266423 -2.59640043 -2.97962025 -2.21200141
 -1.92276476 -2.45450489 -2.93963201 -2.11321294 -1.84394499 -2.20061368
 -2.37827799 -2.37953671 -3.01082748 -1.99715632 -2.82309414 -1.95156274
 -1.89093641 -2.34255226 -2.84888775 -2.53621132 -2.8918946  -2.54871988
 -3.20071527 -3.05874094 -1.86351975 -2.54166208 -1.93964914 -2.29766284
 -2.54758742 -2.80408366 -1.94326987 -2.60229846 -2.3886447  -2.3820251
 -2.42666386 -2.03197138 -2.66148533 -2.27881413 -2.20523549 -2.08136783
 -2.05099945 -1.97372324 -1.86025477 -2.049175   -2.70052627 -2.28220373
 -2.56418367 -2.94702625 -2.86803829 -3.06889387 -2.33209549 -2.28549563
 -2.51543773 -2.54722958 -2.54674624 -3.16192428 -3.19432373 -3.16523119
 -1.83147341 -2.1906445  -2.10969874 -3.17452945 -1.90530788 -2.55312648
 -1.98029033 -2.98332437 -3.01922673 -2.67313125 -2.67763218 -3.11496733
 -3.04977625 -2.58069899 -2.24779881 -2.63035491 -2.39129773 -2.63816827
 -2.27094805 -2.07870958 -2.43504092 -2.28871797 -1.98359534 -2.54598206
 -2.39060935 -2.2915547  -2.22572859 -2.84116023 -3.21216052 -2.36550316
 -2.21491848 -3.01820995 -3.00255814 -1.86158963 -2.2224683  -3.06949557
 -2.40962522 -2.96044403]",0.00023340728126664142,4.343712091445923
